SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,15152.02,15320,15152.02,15295.69,15251.2,15636.18,550,8349066.94,31-Aug-2026,67,IN0020200104
SGBN28VIII,GB,15589.98,15589.98,15140,15290.2,15355,15630,120,1836789.67,31-Aug-2026,41,IN0020200286
SGBMAY29I,GB,15300,15360,15158,15286.02,15319.99,15618.04,915,13981156.17,31-Aug-2026,124,IN0020210053
SGBJUN29II,GB,15537.7,15537.7,15200,15300,15300,15567.27,199,3030364.48,31-Aug-2026,33,IN0020210061
SGBJU29III,GB,15300,15338.99,15200,15283.07,15300,15639.99,181,2759142.27,31-Aug-2026,46,IN0020210087
SGBSEP29VI,GB,15775,15775,15121,15362.2,15475,15899.84,317,4863102.03,31-Aug-2026,80,IN0020210145
SGBNV29VII,GB,15131,15424,15131,15300,15300,15631,315,4812520.85,31-Aug-2026,34,IN0020210178
SGBOCT26,GB,15621.5,15621.5,15621.5,15621.5,15621.5,15621.5,1,15621.50,31-Aug-2026,1,IN0020180249
SGBNOV26,GB,15350,15350,15350,15350,15350,15640,27,414450.00,31-Aug-2026,7,IN0020180314
SGBJUN27,GB,15309.91,15309.91,15309.91,15309.91,15309.91,15586.26,3,45929.73,31-Aug-2026,2,IN0020190073
SGBJUL27,GB,15005,15300,15005,15300,15300,15599.9,14,212316.00,31-Aug-2026,8,IN0020190081
SGBAUG27,GB,15350,15475,15111,15279.27,15315,15550,49,748570.99,31-Aug-2026,26,IN0020190107
SGBJAN27,GB,15374.99,15374.99,15374.99,15374.99,15374.99,15973.98,1,15374.99,31-Aug-2026,1,IN0020180462
SGBDC27VII,GB,15399.99,15505,15300,15300,15300,15505,16,245299.99,31-Aug-2026,6,IN0020190461
SGBAPR28I,GB,15647.7,15647.7,15152.01,15315.01,15350,15700.28,137,2097385.03,31-Aug-2026,54,IN0020200062
SGBMAY28,GB,15125.5,15450,15100,15328.71,15339.99,15623.18,174,2646919.93,31-Aug-2026,52,IN0020200088
SGBJUL28IV,GB,15390,15390,15110,15260.17,15295,15600.48,230,3501364.33,31-Aug-2026,48,IN0020200146
SGBFEB28IX,GB,15250,15810,15250,15597,15597,15410,31,478562.00,31-Aug-2026,8,IN0020190545
SGBAUG28V,GB,15600,15600,15111.01,15270.3,15275,15584.2,1096,16715015.56,31-Aug-2026,236,IN0020200161
SGBSEP28VI,GB,15588,15588,15151,15383.63,15390,15751.37,104,1590626.40,31-Aug-2026,39,IN0020200195
SGBOC28VII,GB,15255,15350,15255,15325.5,15301.01,15700,13,198722.01,31-Aug-2026,8,IN0020200203
SGBJ28VIII,GB,15225,15225,15225,15225,15225,15549.51,1,15225.00,31-Aug-2026,1,IN0020190537
SGBMAR28X,GB,15799,15800,15590,15590,15590,15915,4,62989.00,31-Aug-2026,3,IN0020190552
SGBJUL29IV,GB,15161,15370,15121,15360.39,15370,15560.18,207,3163990.58,31-Aug-2026,49,IN0020210111
SGBJAN29IX,GB,15199,15325,15199,15306.9,15275,15580.43,60,915522.66,31-Aug-2026,22,IN0020200377
SGBAUG29V,GB,15599,15698,15213.55,15398,15398,15749,164,2509491.89,31-Aug-2026,61,IN0020210129
SGBD29VIII,GB,15105.1,15400,15105.1,15391.85,15400,15612.71,223,3418639.32,31-Aug-2026,63,IN0020210228
SGBJAN29X,GB,15300,15350,15200,15260.5,15260.01,15574.51,92,1407319.58,31-Aug-2026,35,IN0020200385
SGBFEB29XI,GB,15201,15300,15191.01,15300,15300,15530,105,1601265.45,31-Aug-2026,29,IN0020200393
SGBMR29XII,GB,15746.87,15746.87,15282,15302.84,15300,15823.84,619,9498057.55,31-Aug-2026,49,IN0020200427
SGBJUN30,GB,15669.89,15689,15051,15328.73,15330,15710,320,4907011.10,31-Aug-2026,78,IN0020220045
SGBAUG30,GB,15599.99,15649,15309,15504.55,15569,15731.81,161,2483330.69,31-Aug-2026,51,IN0020220078
SGBDE30III,GB,15444.99,15569.98,15261.41,15517.09,15500.02,15707.87,265,4081183.16,31-Aug-2026,73,IN0020220110
SGBJAN30IX,GB,15150.01,15409.99,15150.01,15350,15350,15620.15,221,3375063.24,31-Aug-2026,71,IN0020210236
SGBMAR30X,GB,15647.7,15647.7,15251.05,15368.78,15371,15700,226,3469416.60,31-Aug-2026,45,IN0020210319
SGBJUN31I,GB,15691,15691,15321,15564.77,15500.01,15793.97,1600,24753028.16,31-Aug-2026,296,IN0020230069
SGBSEP31II,GB,15800,15800,15452.02,15644.26,15673,15901.1,1157,18043979.98,31-Aug-2026,302,IN0020230093
SGBDE31III,GB,15965.96,15965.96,15490,15735.6,15730.01,15965.96,1901,29712696.30,31-Aug-2026,475,IN0020230168
SGBMAR31IV,GB,15435.5,15588.42,15356,15587.99,15587.99,15832,283,4391332.89,31-Aug-2026,118,IN0020220169
SGBFEB32IV,GB,15989.89,15998.98,15600,15834.25,15834,16082.66,3124,49160910.96,31-Aug-2026,524,IN0020230184
20MICRONS,EQ,221.01,227.33,216.5,218.03,216.5,222,172302,38119457.09,31-Aug-2026,5154,INE144J01027
21STCENMGM,EQ,40.35,41.84,40.34,40.34,40.34,41.16,2905,117233.68,31-Aug-2026,28,INE253B01015
360ONE,EQ,1199.6,1199.6,1149.3,1175,1175,1200,1412706,1656557997.40,31-Aug-2026,52727,INE466L01038
GOLD360,EQ,153,153,148.95,149.75,150.6,154.7,25721,3854416.55,31-Aug-2026,371,INF579M01BB5
MSCI360,EQ,10.27,10.27,10.08,10.21,10.21,10.22,1079,10973.20,31-Aug-2026,31,INF579M01BP5
SILVER360,EQ,231.4,231.4,226.87,229.14,229.1,236.33,15850,3625703.63,31-Aug-2026,506,INF579M01BC3
3BBLACKBIO,EQ,1458.1,1510,1430,1447.8,1457.9,1441.2,33118,48955574.00,31-Aug-2026,2768,INE994E01018
3IINFOLTD,BE,23.8,23.85,22.66,23.02,23.1,23.85,155358,3587654.22,31-Aug-2026,805,INE748C01038
3MINDIA,EQ,34415,34415,33125,33320,33695,34415,7423,248398470.00,31-Aug-2026,4147,INE470A01017
3PLAND,EQ,31.74,32.25,31.4,31.49,32,31.74,7601,240788.17,31-Aug-2026,72,INE105C01023
5PAISA,EQ,367.5,370.75,355,356.6,355,368.35,68919,25064460.25,31-Aug-2026,2663,INE618L01018
63MOONS,EQ,776.4,788.05,762.95,778.85,779.1,776.4,127074,98490416.45,31-Aug-2026,6551,INE111B01023
743REC35,NH,1200,1200,1195,1195,1195,1196.5,96,114999.70,31-Aug-2026,5,INE020B07JU4
751HUDCO28,N5,1066.05,1066.05,1063.6,1066,1066,1066,86,91664.10,31-Aug-2026,8,INE031A07865
764NABAR31,N2,1114,1115,1110.01,1112.9,1112.9,1114,553,615487.02,31-Aug-2026,5,INE261F07032
764HUDCO31,N8,1117.1,1117.3,1117.1,1117.3,1117.3,1117.1,51,56972.30,31-Aug-2026,3,INE031A07AO5
774IREDA31,N7,1130,1130.05,1130,1130,1130,1123.05,215,242950.75,31-Aug-2026,5,INE202E07229
812REC27,NI,1022.26,1025,1022.26,1025,1025,1024,623,638542.12,31-Aug-2026,3,INE020B07GH7
82HUDCO27,N2,1054.9,1054.9,1050.1,1050.17,1050.17,1049.91,1037,1090382.50,31-Aug-2026,11,INE031A07840
830PFCL27,N5,1081,1085,1081,1085,1085,1081,172,186380.00,31-Aug-2026,4,INE134E07208
851HUDCO28,NB,1129.05,1129.05,1129,1129,1129,1127.25,200,225800.05,31-Aug-2026,2,INE031A07915
875NHAI29,N6,1114.49,1114.49,1109,1110.03,1110,1114.49,2389,2653969.66,31-Aug-2026,42,INE906B07DF8
876HUDCO28,ND,1135.04,1135.99,1133.3,1134.96,1134.9,1135.04,3025,3431620.33,31-Aug-2026,23,INE031A07949
879NHPC28,N5,1110,1110,1110,1110,1110,1098,100,111000.00,31-Aug-2026,2,INE848E07559
891IIFCL34,N4,1256,1269.8,1255,1265,1265,1260,2296,2884124.80,31-Aug-2026,19,INE787H07370
891NTPC33,N6,1277.05,1278,1275,1275,1275,1275.55,251,320378.00,31-Aug-2026,7,INE733E07JJ9
892PFCL33,N8,1275.1,1285,1275.1,1277,1277,1285,102,130863.10,31-Aug-2026,7,INE134E07463
901HUDCO34,NE,1288,1289.75,1281,1289.75,1289.75,1288,291,373934.75,31-Aug-2026,7,INE031A07AB2
ABCOTS,EQ,208.9,220.9,205.01,214.72,215,203.7,37858,8157499.76,31-Aug-2026,1191,INE08PH01015
ABINFRA,BE,11.75,11.82,11.33,11.44,11.6,11.82,241079,2774001.93,31-Aug-2026,381,INE00YB01025
ABMKNO,EQ,188.25,194,185.02,190.19,190,193.39,197,37263.22,31-Aug-2026,31,INE850B01026
ACSTECH,BE,51.75,53,50,51.42,51.6,51.58,389314,19918460.26,31-Aug-2026,408,INE366C01021
AGUL,SM,45.9,45.9,45.9,45.9,45.9,46.05,2000,91800.00,31-Aug-2026,1,INE0O6N01012
AKCAPIT,EQ,1761.8,1779,1713.1,1750.9,1751.2,1708.1,1340,2343835.70,31-Aug-2026,243,INE701G01012
A2ZINFRA,EQ,17,17,16.41,16.75,16.72,16.63,242582,4093340.71,31-Aug-2026,543,INE619I01012
AAATECH,EQ,94.02,96.59,94.02,94.79,94.26,95.03,9982,950751.24,31-Aug-2026,394,INE0D0U01013
AADHARHFC,EQ,471.1,471.1,462.8,468.1,466,471.1,213894,99900535.30,31-Aug-2026,16699,INE883F01010
AAKAAR,SM,63,66,63,66,66,64.6,12800,824720.00,31-Aug-2026,8,INE1GYP01013
AAKASH,EQ,8.61,8.87,8.56,8.64,8.79,8.73,60911,530280.11,31-Aug-2026,353,INE087Z01024
AARADHYA,SM,66,78,66,78,78,65,15600,1158300.00,31-Aug-2026,12,INE124401014
AAREYDRUGS,EQ,90,91,86.67,88.21,87.89,89.01,102279,9071594.07,31-Aug-2026,1109,INE198H01019
AARNAV,BE,33.66,33.66,31.98,32.03,32,33.66,29199,949520.06,31-Aug-2026,59,INE750R01016
AARON,EQ,132,134.6,129.66,130.1,129.66,134.94,10274,1347964.13,31-Aug-2026,510,INE721Z01010
AARTECH,BE,48.04,49.4,47.55,47.9,48.57,49.16,12716,611071.05,31-Aug-2026,106,INE01C001026
AARTIDRUGS,EQ,423,423,409.95,411.7,412.4,418.55,59488,24617356.05,31-Aug-2026,2851,INE767A01016
AARTIIND,EQ,540.6,540.6,522,524.4,524,540.35,635813,337863553.75,31-Aug-2026,23637,INE769A01020
AARTIPHARM,EQ,839.9,864.9,829,845.4,843.1,840.7,522950,443619175.95,31-Aug-2026,26610,INE0LRU01027
