SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,14945,14950,14940.01,14943.71,14940.01,14920.58,10,149441.03,17-Jun-2026,7,IN0020200104
SGBN28VIII,GB,14900,14999.97,14900,14928.58,14930,14948.02,206,3071788.07,17-Jun-2026,27,IN0020200286
SGBMAY29I,GB,15000.01,15000.01,14861,14929.76,14930,15074.1,603,8994775.04,17-Jun-2026,77,IN0020210053
SGBJUN29II,GB,14900,14975.51,14900,14910.02,14910,14942.28,128,1907934.55,17-Jun-2026,16,IN0020210061
SGBJU29III,GB,14900.1,14958.99,14900.1,14913,14913,14960.95,25,372975.90,17-Jun-2026,12,IN0020210087
SGBSEP29VI,GB,14970,14970,14913,14916.01,14916.01,14979.99,79,1178719.17,17-Jun-2026,9,IN0020210145
SGBNV29VII,GB,14940,14949.99,14866.01,14931,14931,14948.98,344,5137005.64,17-Jun-2026,50,IN0020210178
SGBOCT26,GB,14849.22,14849.22,14702,14702,14702,14993.66,3,44253.22,17-Jun-2026,2,IN0020180249
SGBJUN27,GB,15000,15000,14997.88,14997.89,14997.89,15824.99,6,89989.44,17-Jun-2026,3,IN0020190073
SGBJUL27,GB,15000,15000,15000,15000,15000,14950.01,1,15000.00,17-Jun-2026,1,IN0020190081
SGBAUG27,GB,15032,15032,14905,14905,14905,15017.45,41,612655.00,17-Jun-2026,6,IN0020190107
SGBSEP27,GB,14960,14960,14959.9,14960,14960,14963.4,67,1002318.00,17-Jun-2026,5,IN0020190115
SGBOCT27,GB,14804.45,15049.95,14804.45,15049.95,15049.95,14983.34,57,846596.69,17-Jun-2026,28,IN0020190370
SGBOCT27VI,GB,14900,14900,14900,14900,14900,14950,2,29800.00,17-Jun-2026,1,IN0020190388
SGBDC27VII,GB,14900,15000,14900,15000,15000,14921.93,19,284180.00,17-Jun-2026,6,IN0020190461
SGBAPR28I,GB,14950,14985,14915,14927.6,14925,14950,73,1090245.06,17-Jun-2026,34,IN0020200062
SGBMAY28,GB,14860.02,14971.16,14860.02,14927.59,14930,14979.96,148,2207260.24,17-Jun-2026,35,IN0020200088
SGBJUL28IV,GB,14999.99,15020,14965.02,15000,15000,15029.16,1294,19408959.92,17-Jun-2026,46,IN0020200146
SGBFEB28IX,GB,14925,14925,14925,14925,14925,14925,15,223875.00,17-Jun-2026,1,IN0020190545
SGBAUG28V,GB,15063.42,15063.42,14910,14966.42,14965,15063.42,1036,15487369.86,17-Jun-2026,122,IN0020200161
SGBSEP28VI,GB,14905.5,14950,14905,14933,14933,14992.34,163,2433767.00,17-Jun-2026,27,IN0020200195
SGBOC28VII,GB,14810.01,14954.81,14791.76,14906.04,14902,14941.17,111,1653104.62,17-Jun-2026,21,IN0020200203
SGBJ28VIII,GB,15000,15050,15000,15050,15050,15048,389,5852750.00,17-Jun-2026,2,IN0020190537
SGBMAR28X,GB,14900,14940.52,14850,14922.92,14940.52,14935.65,150,2233127.13,17-Jun-2026,15,IN0020190552
SGBJUL29IV,GB,14991.5,15013.1,14975,15005,15005,14991.5,132,1979573.30,17-Jun-2026,24,IN0020210111
SGBJAN29IX,GB,14963,15000,14963,15000,15000,15020,464,6953857.79,17-Jun-2026,25,IN0020200377
SGBAUG29V,GB,14935,15000,14932,14996.71,15000,15000,121,1812660.07,17-Jun-2026,23,IN0020210129
SGBD29VIII,GB,14888,14987.79,14888,14905.77,14904,14964.9,141,2103773.90,17-Jun-2026,56,IN0020210228
SGBJAN29X,GB,14957,15000,14957,15000,15000,14980,78,1169828.00,17-Jun-2026,10,IN0020200385
SGBFEB29XI,GB,14972.33,14973.33,14940,14973.33,14973.33,14974.66,9,134656.98,17-Jun-2026,4,IN0020200393
SGBMR29XII,GB,14841,15197,14841,14974.99,14974.99,14990.8,99,1479640.04,17-Jun-2026,34,IN0020200427
SGBJUN30,GB,15024.33,15100.01,15001,15070.4,15087,15024.33,250,3760946.57,17-Jun-2026,93,IN0020220045
SGBAUG30,GB,15053.41,15099,14951,15033.22,15025,15053.41,66,993228.61,17-Jun-2026,28,IN0020220078
SGBDE30III,GB,15188.98,15188.98,15011.03,15080,15080,15086.28,97,1463251.05,17-Jun-2026,64,IN0020220110
SGBJAN30IX,GB,15231.6,15249,15011,15125,15125,15155.83,58,878974.78,17-Jun-2026,14,IN0020210236
SGBMAR30X,GB,14994,15200,14200,15034.5,15049.99,14980.01,552,8200696.33,17-Jun-2026,111,IN0020210319
SGBJUN31I,GB,15289.99,15289.99,15206.01,15233.23,15247,15259.44,275,4191458.27,17-Jun-2026,75,IN0020230069
SGBSEP31II,GB,15384.32,15440,15271,15344.15,15332,15385.32,614,9411263.14,17-Jun-2026,119,IN0020230093
SGBDE31III,GB,15250,15401.01,15250,15313.31,15345,15355.28,1801,27645490.79,17-Jun-2026,353,IN0020230168
SGBMAR31IV,GB,15181,15297.36,15017.05,15138.8,15110,15180,127,1924052.17,17-Jun-2026,49,IN0020220169
SGBFEB32IV,GB,15680,15680,15475,15529.95,15544.99,15488.24,1159,18001631.69,17-Jun-2026,241,IN0020230184
20MICRONS,EQ,186,187,183.27,185.34,186.1,184.4,95201,17606270.70,17-Jun-2026,2797,INE144J01027
21STCENMGM,EQ,32.75,32.77,31.55,32.77,32.77,32.13,4282,139478.56,17-Jun-2026,27,INE253B01015
360ONE,EQ,1160,1160,1127,1136.9,1135.4,1133.6,382759,436175464.10,17-Jun-2026,19096,INE466L01038
GOLD360,EQ,146.4,146.8,145.4,146.35,146.3,146.4,11171,1628560.20,17-Jun-2026,194,INF579M01BB5
MSCI360,EQ,10.08,10.8,9.93,10.19,9.93,10.03,8139,82082.73,17-Jun-2026,33,INF579M01BP5
SILVER360,EQ,242,242.24,239.95,240.73,240.98,242.51,18384,4431045.95,17-Jun-2026,405,INF579M01BC3
3BBLACKBIO,EQ,1288,1288,1193,1202.3,1193,1258.7,11786,14361551.20,17-Jun-2026,1848,INE994E01018
