SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,14650.01,14984.99,14640.53,14954.42,14955.68,14640.53,76,1130958.51,15-Jun-2026,28,IN0020200104
SGBN28VIII,GB,14800,15100,14800,14984.3,15100,14604.47,205,3052235.04,15-Jun-2026,79,IN0020200286
SGBMAY29I,GB,14997,14997,14752.01,14914.91,14949.99,14581.57,323,4804630.81,15-Jun-2026,96,IN0020210053
SGBJUN29II,GB,14636.56,14925.9,14636.56,14900,14900,14594.5,191,2839458.95,15-Jun-2026,50,IN0020210061
SGBJU29III,GB,14769.5,14899,14768.5,14871.9,14878,14596.11,108,1604134.91,15-Jun-2026,45,IN0020210087
SGBSEP29VI,GB,14989,15297,14840,14934.75,14931,14592.61,393,5870308.12,15-Jun-2026,85,IN0020210145
SGBNV29VII,GB,14898,14999,14832,14870.26,14850,14580.47,276,4107085.83,15-Jun-2026,71,IN0020210178
SGBOCT26,GB,14784,15042.56,14784,14993.66,14849.22,14500,40,595473.29,15-Jun-2026,13,IN0020180249
SGBNOV26,GB,14890.34,14890.34,14890.34,14890.34,14890.34,14845.92,6,89342.04,15-Jun-2026,1,IN0020180314
SGBDEC26,GB,14902,15118,14902,15101,15101,14608,9,135596.00,15-Jun-2026,3,IN0020180389
SGBJUN27,GB,14800,14800,14777.91,14777.91,14777.91,14508,7,103577.91,15-Jun-2026,3,IN0020190073
SGBJUL27,GB,14901,14901,14900,14900,14900,14650,4,59601.00,15-Jun-2026,2,IN0020190081
SGBAUG27,GB,14770,14950,14750,14941.18,14870,14587.61,240,3577915.00,15-Jun-2026,36,IN0020190107
SGBSEP27,GB,14890,14890,14890,14890,14890,14580.9,2,29780.00,15-Jun-2026,1,IN0020190115
SGBJAN27,GB,14901,15180.01,14901,14953.72,14953.72,14650,40,600634.27,15-Jun-2026,14,IN0020180462
SGBOCT27,GB,14948.99,14948.99,14876.98,14895.38,14899.99,14579,16,238215.69,15-Jun-2026,6,IN0020190370
SGBFEB27,GB,14800,14800,14800,14800,14800,14589.26,1,14800.00,15-Jun-2026,1,IN0020180561
SGBOCT27VI,GB,14551.01,14949,14550,14873.13,14900,14550,146,2159631.12,15-Jun-2026,34,IN0020190388
SGBDC27VII,GB,14773,14999,14636.01,14702,14702,14521,9,133445.02,15-Jun-2026,6,IN0020190461
SGBAPR28I,GB,14908,14992,14850,14941.08,14939.99,14574.52,306,4568248.47,15-Jun-2026,38,IN0020200062
SGBMAY28,GB,14715.01,14895,14703,14868.18,14895,14598.57,472,7011450.10,15-Jun-2026,82,IN0020200088
SGBJUL28IV,GB,14666,14979.99,14666,14951,14951,14655.62,169,2525665.56,15-Jun-2026,32,IN0020200146
SGBFEB28IX,GB,14810,14840,14810,14840,14840,14595,10,148205.00,15-Jun-2026,3,IN0020190545
SGBAUG28V,GB,14781,14940,14752,14915.71,14929.99,14606.57,1498,22305336.07,15-Jun-2026,213,IN0020200161
SGBSEP28VI,GB,14626,14965.96,14626,14893.34,14875,14600,122,1814752.00,15-Jun-2026,25,IN0020200195
SGBOC28VII,GB,14636,14900,14636,14882.5,14880,14580,89,1320392.46,15-Jun-2026,25,IN0020200203
SGBJ28VIII,GB,14901,15039,14900,14950,14950,14605,11,164145.01,15-Jun-2026,6,IN0020190537
SGBMAR28X,GB,14601,14878,14601,14870,14870,14529.71,36,533977.53,15-Jun-2026,12,IN0020190552
SGBJUL29IV,GB,14900,14994.97,14900,14994.97,14994.97,14650,362,5409286.55,15-Jun-2026,28,IN0020210111
SGBJAN29IX,GB,14925,14984,14915,14970.01,14970.01,14675.32,143,2138718.78,15-Jun-2026,30,IN0020200377
SGBAUG29V,GB,14940,14940,14867.01,14939.07,14940,14642.24,117,1746639.19,15-Jun-2026,35,IN0020210129
SGBD29VIII,GB,14801,14935,14801,14923.34,14935,14614.81,274,4073388.50,15-Jun-2026,86,IN0020210228
SGBJAN29X,GB,15090,15090,14905,14974,14974,14678,43,641977.96,15-Jun-2026,11,IN0020200385
SGBFEB29XI,GB,14820,14960,14820,14919,14919,14636,18,267821.00,15-Jun-2026,6,IN0020200393
SGBMR29XII,GB,14606,14900,14606,14897.35,14900,14561.58,240,3567675.48,15-Jun-2026,43,IN0020200427
SGBJUN30,GB,14836.56,15051,14836.56,14989.2,14967.87,14813.11,209,3127673.79,15-Jun-2026,77,IN0020220045
SGBAUG30,GB,15100,15100.01,14980.28,15087.92,15087.44,14750.12,169,2545647.00,15-Jun-2026,65,IN0020220078
SGBDE30III,GB,14966,15150.94,14966,15119.64,15120,14849.99,328,4954465.67,15-Jun-2026,86,IN0020220110
SGBJAN30IX,GB,14990.93,15127.86,14880.83,15015.52,15011.01,14605.07,171,2570917.09,15-Jun-2026,53,IN0020210236
SGBMAR30X,GB,14901,15173.55,14901,14986.91,14963.73,14900,155,2318077.66,15-Jun-2026,51,IN0020210319
SGBJUN31I,GB,15051,15289.95,15051,15236.07,15250,14992.22,454,6918151.95,15-Jun-2026,113,IN0020230069
SGBSEP31II,GB,15106.56,15300,15106.56,15290.27,15275,15057.79,1032,15735631.47,15-Jun-2026,187,IN0020230093
SGBDE31III,GB,15205,15448.99,15205,15317.92,15311,15120.02,1588,24398651.58,15-Jun-2026,412,IN0020230168
SGBMAR31IV,GB,15036.57,15189,15036.56,15160,15160,14960.47,96,1454002.19,15-Jun-2026,40,IN0020220169
SGBFEB32IV,GB,15599.5,15599.5,15355,15501.85,15503,15219.03,1583,24540243.75,15-Jun-2026,281,IN0020230184
20MICRONS,EQ,184.45,198,183.05,188.82,188.52,182.37,428997,82359091.03,15-Jun-2026,6577,INE144J01027
21STCENMGM,EQ,30.74,31.98,30.74,31.98,31.98,31.36,2430,75707.14,15-Jun-2026,23,INE253B01015
360ONE,EQ,1109.8,1134.7,1106,1130.8,1132.7,1096.8,2132710,2402169209.20,15-Jun-2026,71371,INE466L01038
GOLD360,EQ,148.1,148.7,145.8,147.15,147.2,144.5,12831,1885112.80,15-Jun-2026,257,INF579M01BB5
MSCI360,EQ,10.02,10.02,9.92,9.93,9.93,9.84,2303,22911.23,15-Jun-2026,17,INF579M01BP5
SILVER360,EQ,241.03,245.74,240,244.76,244.65,235.16,27284,6659403.74,15-Jun-2026,767,INF579M01BC3
3BBLACKBIO,EQ,1250.2,1306,1239.7,1287.4,1285,1245.4,16880,21607614.20,15-Jun-2026,2125,INE994E01018
3IINFOLTD,EQ,17.55,18.3,17.5,17.76,17.6,17.22,834961,14912508.70,15-Jun-2026,1907,INE748C01038
3MINDIA,EQ,31750,32195,31575,31665,31690,31550,2529,80356965.00,15-Jun-2026,1610,INE470A01017
3PLAND,EQ,32.9,34,31.05,31.67,31.79,32.1,5884,189941.08,15-Jun-2026,170,INE105C01023
5PAISA,EQ,317.9,324.95,311.95,316.8,315.4,309.7,65641,20867190.75,15-Jun-2026,1896,INE618L01018
63MOONS,EQ,670.45,684,656.65,660.3,657,660.5,106805,71658140.95,15-Jun-2026,3534,INE111B01023
743REC35,NH,1180,1185,1180,1185,1185,1185,265,312950.00,15-Jun-2026,3,INE020B07JU4
760PFCL35,N3,1195,1202.12,1195,1202.12,1202.12,1192.8,148,176924.08,15-Jun-2026,2,INE134E07588
764NABAR31,N2,1097.15,1105,1095.1,1096.08,1095.1,1100.12,732,802761.40,15-Jun-2026,12,INE261F07032
764HUDCO31,N8,1102.1,1102.1,1102.1,1102.1,1102.1,1124,450,495945.00,15-Jun-2026,2,INE031A07AO5
769HUDCO31,N9,1116,1116,1116,1116,1116,1118.35,17,18972.00,15-Jun-2026,2,INE031A07AT4
812REC27,NI,1093.5,1093.5,1093.5,1093.5,1093.5,1108.99,70,76545.00,15-Jun-2026,7,INE020B07GH7
82HUDCO27,N2,1038.23,1039.5,1038.22,1038.98,1038.91,1038.2,5129,5328766.21,15-Jun-2026,44,INE031A07840
873NTPC28,N5,1106.07,1106.07,1106.07,1106.07,1106.07,1120.99,25,27651.75,15-Jun-2026,1,INE733E07JI1
875NHAI29,N6,1106.3,1108.9,1105.01,1105.61,1106.69,1106.18,1333,1474211.91,15-Jun-2026,38,INE906B07DF8
876HUDCO28,ND,1124.5,1124.5,1122,1122.99,1122.99,1122,802,901306.89,15-Jun-2026,14,INE031A07949
891IIFCL34,N4,1240,1240,1240,1240,1240,1238.08,588,729120.00,15-Jun-2026,18,INE787H07370
891NTPC33,N6,1261.35,1261.35,1260,1260,1260,1261.01,2025,2551901.50,15-Jun-2026,12,INE733E07JJ9
892NHPC33,N6,1245,1245,1230,1236,1236,1236,468,580083.00,15-Jun-2026,7,INE848E07567
892PFCL33,N8,1290,1290,1267,1272.16,1274,1267,1337,1697784.05,15-Jun-2026,23,INE134E07463
901HUDCO34,NE,1269.7,1269.7,1269.7,1269.7,1269.7,1273.99,10,12697.00,15-Jun-2026,2,INE031A07AB2
ABCOTS,EQ,214,252.21,210.81,246.33,243,210.18,1365347,332588516.20,15-Jun-2026,22861,INE08PH01015
ABINFRA,EQ,11.32,11.95,10.31,10.65,11,10.82,3488134,38684026.16,15-Jun-2026,7490,INE00YB01025
ABMKNO,EQ,211.44,221,206,215.93,221,211.43,506,106827.00,15-Jun-2026,50,INE850B01026
ACSTECH,EQ,40.99,40.99,37.63,38.29,38.1,39.51,227562,9005877.96,15-Jun-2026,1319,INE366C01021
AKCAPIT,EQ,1755,1755,1692.1,1745.8,1754,1717,301,514641.90,15-Jun-2026,43,INE701G01012
A2ZINFRA,EQ,14.25,14.63,14.25,14.31,14.4,14.15,75929,1095693.78,15-Jun-2026,286,INE619I01012
AAATECH,EQ,96.82,99,96.07,96.48,96.35,97.3,14964,1454689.76,15-Jun-2026,340,INE0D0U01013
AADHARHFC,EQ,481,491,481,488.95,488.2,473.65,664826,323680699.65,15-Jun-2026,19840,INE883F01010
AAKAAR,SM,66.25,68,66.25,68,68,64.8,16000,1076400.00,15-Jun-2026,10,INE1GYP01013
AAKASH,EQ,10.45,10.6,9.62,9.72,9.71,10.3,446041,4445468.98,15-Jun-2026,911,INE087Z01024
AAREYDRUGS,BE,78.08,80.5,76.1,79.35,79,77.85,26773,2107981.37,15-Jun-2026,168,INE198H01019
AARNAV,EQ,24.64,25.4,24.5,24.69,24.92,24.98,318953,7958601.35,15-Jun-2026,206,INE750R01016
AARON,EQ,125,126,121,122.64,123.7,119.24,13596,1682189.27,15-Jun-2026,466,INE721Z01010
AARTECH,EQ,41.55,42.43,40.62,41.15,41.5,41.65,33232,1380909.71,15-Jun-2026,653,INE01C001026
AARTIDRUGS,EQ,378,379,370.1,375.4,376,371.7,235592,87996907.95,15-Jun-2026,3930,INE767A01016
AARTIIND,EQ,448,504.9,448,498.15,491.7,440.6,18246113,9034471185.30,15-Jun-2026,222569,INE769A01020
AARTIPHARM,EQ,654.05,654.05,637.2,640.65,645.05,641.15,122011,78807241.75,15-Jun-2026,11486,INE0LRU01027
AARTISURF,EQ,381,394.95,378.15,389.55,390,374.75,10291,3996032.30,15-Jun-2026,925,INE09EO01013
AARVI,EQ,152,154.7,146.1,146.81,146.84,148.29,51363,7622592.43,15-Jun-2026,805,INE754X01016
AATMAJ,SM,20,20,19.35,19.35,19.35,19.2,4000,78700.00,15-Jun-2026,2,INE0OB201016
AAVAS,EQ,1416.9,1424.9,1392,1405.2,1393.1,1405.7,154471,218498513.70,15-Jun-2026,19384,INE216P01012
ABAN,BE,14.59,15.49,14.59,14.59,14.59,15.35,349546,5120708.34,15-Jun-2026,648,INE421A01028
ABANSENT,BE,26.89,28.49,26.08,27.85,27.85,27.44,9596,259402.50,15-Jun-2026,84,INE365O01028
AFSL,EQ,201.95,203.34,201,201.01,201,201.01,8955,1802129.90,15-Jun-2026,102,INE00ZE01026
ABB,EQ,6880,6977.5,6821,6922.5,6947.5,6770.5,227935,1576406884.50,15-Jun-2026,24047,INE117A01022
ABBOTINDIA,EQ,26555,26580,26170,26255,26205,26280,5922,155667110.00,15-Jun-2026,3428,INE358A01014
78ABCL33,N1,1004.25,1004.25,1004.25,1004.25,1004.25,1030,1,1004.25,15-Jun-2026,1,INE860H07IP2
ABHAPOWER,SM,28.7,28.7,27.9,28.3,27.9,27.7,8000,227200.00,15-Jun-2026,5,INE0UYG01015
AILIMITED,ST,36.1,36.1,36.1,36.1,36.1,36.05,1500,54150.00,15-Jun-2026,1,INE0CAJ01017
ABSMARINE,ST,236.85,237.75,223,233.1,234,231.9,84000,19434075.00,15-Jun-2026,146,INE0QRV01016
ACC,EQ,1360,1374.3,1351.8,1356.4,1353.4,1336.6,154002,209725888.20,15-Jun-2026,12922,INE012A01025
ACCELYA,EQ,1117.4,1131,1114.1,1115.9,1118.3,1117.4,6929,7764594.40,15-Jun-2026,1063,INE793A01012
ACCENTMIC,SM,460,463,446.5,450,448.1,459.4,47500,21550825.00,15-Jun-2026,82,INE0Q5D01013
ACCORD,ST,90.4,90.4,90.4,90.4,90.4,86.1,8000,723200.00,15-Jun-2026,4,INE113X01015
ACCPL,ST,143.95,143.95,142.9,142.9,142.9,137.25,2400,344220.00,15-Jun-2026,2,INE0T8T01010
ACCURACY,EQ,5.55,5.64,5.5,5.62,5.63,5.41,85109,473343.37,15-Jun-2026,364,INE648Z01023
