SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,15800,15807.71,15563.04,15669.85,15669.85,15808.71,56,877458.49,09-Mar-2026,31,IN0020200104
SGBN28VIII,GB,15900,16055.77,15609.4,15644.43,15632,15811.35,317,4965127.77,09-Mar-2026,84,IN0020200286
SGBMAY29I,GB,15880,15880,15572.03,15640.72,15641.5,15793.79,1506,23559652.67,09-Mar-2026,319,IN0020210053
SGBJUN29II,GB,15998,15998,15580,15641.46,15650,15775.25,415,6488120.73,09-Mar-2026,89,IN0020210061
SGBJU29III,GB,15533,15993,15533,15667.5,15699,15850,388,6069520.88,09-Mar-2026,52,IN0020210087
SGBSEP29VI,GB,15900,15900,15621.49,15691.46,15680,15995.7,843,13323669.12,09-Mar-2026,142,IN0020210145
SGBNV29VII,GB,16310.85,16310.85,15614.01,15650.5,15650,15991,421,6592966.64,09-Mar-2026,73,IN0020210178
SGBMAY26,GB,15690,15690,15600,15650,15650,15700.8,61,954730.42,09-Mar-2026,17,IN0020180033
SGBNOV26,GB,15717,15717,15572.01,15679.63,15680,15715.82,28,439223.23,09-Mar-2026,11,IN0020180314
SGBDEC26,GB,15600,16549,15600,15611.01,15611.01,15564.11,8,126748.04,09-Mar-2026,4,IN0020180389
SGBJUN27,GB,15512,15986.99,15512,15561.11,15561.11,15989,40,628558.02,09-Mar-2026,6,IN0020190073
SGBJUL27,GB,15454.01,15647,15454.01,15647,15647,15789.99,12,186505.05,09-Mar-2026,7,IN0020190081
SGBAUG27,GB,15758,15758,15555,15602.51,15600.01,15757.19,440,6868382.00,09-Mar-2026,87,IN0020190107
SGBJAN27,GB,15514.11,15768,15435.54,15768,15768,15710.33,7,108771.09,09-Mar-2026,4,IN0020180462
SGBOCT27,GB,15779,15780,15698,15700,15700,15752,22,346739.00,09-Mar-2026,4,IN0020190370
SGBFEB27,GB,15849,15849,15849,15849,15849,15850,1,15849.00,09-Mar-2026,1,IN0020180561
SGBOCT27VI,GB,15600,15601,15600,15601,15601,15800,17,265201.04,09-Mar-2026,6,IN0020190388
SGBDC27VII,GB,15719.1,15719.1,15552.21,15576.61,15601.01,15719.51,6,94029.62,09-Mar-2026,3,IN0020190461
SGBAPR28I,GB,15800,15975,15626,15675.68,15675,15817.8,304,4775842.54,09-Mar-2026,72,IN0020200062
SGBMAY28,GB,15722,15722,15600,15613.05,15647.5,15814.97,293,4578400.88,09-Mar-2026,73,IN0020200088
SGBJUL28IV,GB,15797,15797,15600,15608.76,15602,15796.52,730,11411001.51,09-Mar-2026,139,IN0020200146
SGBFEB28IX,GB,15749,15749,15553.84,15620.14,15600,15773,120,1878739.89,09-Mar-2026,27,IN0020190545
SGBAUG28V,GB,16115.35,16115.35,15573.01,15629.92,15640,15799.36,3175,49679110.54,09-Mar-2026,392,IN0020200161
SGBSEP28VI,GB,15699,15701.02,15555.01,15633.55,15622,15789.06,940,14689925.11,09-Mar-2026,201,IN0020200195
SGBOC28VII,GB,15557,15670,15557,15645.24,15635,15848,181,2830026.43,09-Mar-2026,43,IN0020200203
SGBMAR28X,GB,15749,15750,15617.61,15675,15675,15735.01,78,1223795.60,09-Mar-2026,23,IN0020190552
SGBJUL29IV,GB,15900,15900,15702,15860.3,15702,15882.74,419,6647062.97,09-Mar-2026,74,IN0020210111
SGBJAN29IX,GB,15628,15655,15531.11,15640.72,15615,15805.05,267,4169721.67,09-Mar-2026,61,IN0020200377
SGBAUG29V,GB,16316.19,16316.19,15702,15879.75,15957.96,15996.26,163,2591885.36,09-Mar-2026,50,IN0020210129
SGBD29VIII,GB,15703,15800,15605.01,15679.74,15690,15950,484,7580769.17,09-Mar-2026,89,IN0020210228
SGBJAN29X,GB,15508,15640.01,15508,15640,15640,15809.78,91,1420521.96,09-Mar-2026,32,IN0020200385
SGBFEB29XI,GB,15849.99,15849.99,15600,15643.8,15648,15849.99,93,1456385.29,09-Mar-2026,40,IN0020200393
SGBMR29XII,GB,15766.4,15766.4,15555,15625.05,15625,15765.4,587,9170386.76,09-Mar-2026,145,IN0020200427
SGBJUN30,GB,15608,16289,15608,15827.7,15850,16008.67,76,1208932.64,09-Mar-2026,40,IN0020220045
SGBAUG30,GB,16099,16099,15720,15828.05,15927.39,16050,298,4708279.86,09-Mar-2026,173,IN0020220078
SGBDE30III,GB,16140,16140,15751,15839.87,15848.99,16008.14,312,4936352.67,09-Mar-2026,136,IN0020220110
SGBJAN30IX,GB,15799,15799.99,15651,15687.04,15695,15861.03,258,4049259.87,09-Mar-2026,92,IN0020210236
SGBMAR30X,GB,15900,16000,15606.55,15968.42,15959,15993.49,269,4254171.74,09-Mar-2026,62,IN0020210319
SGBJUN31I,GB,16078.35,16148.99,15851.01,15881.68,15899.99,16178.35,1184,18866210.58,09-Mar-2026,399,IN0020230069
SGBSEP31II,GB,16177,16187,15810,15947.01,15989,16175.37,2921,46450478.08,09-Mar-2026,696,IN0020230093
SGBDE31III,GB,16176.9,16249,15902,15985.87,15981,16276.9,4152,66589447.53,09-Mar-2026,748,IN0020230168
SGBMAR31IV,GB,16101,16101,15802,15840.98,15879,16087.48,266,4221902.66,09-Mar-2026,126,IN0020220169
SGBFEB32IV,GB,16930,16930,16125,16489.55,16499.99,16881.7,4788,78391417.39,09-Mar-2026,1131,IN0020230184
20MICRONS,EQ,161.3,166.87,160,163.78,164,166.87,66311,10764451.80,09-Mar-2026,2044,INE144J01027
21STCENMGM,EQ,33.12,34.35,33.12,33.9,33.14,33.79,1860,63032.49,09-Mar-2026,33,INE253B01015
360ONE,EQ,1049.1,1058,1022.4,1035.1,1032,1064.2,1439537,1488658248.40,09-Mar-2026,66502,INE466L01038
GOLD360,EQ,154.1,156.7,152.8,155.8,156.7,154.1,60260,9298419.30,09-Mar-2026,887,INF579M01BB5
SILVER360,EQ,257.98,257.98,249.61,253.39,253.01,252.98,66827,16894484.96,09-Mar-2026,2247,INF579M01BC3
3IINFOLTD,EQ,13.3,13.3,12.68,12.99,12.99,13.36,433595,5632834.45,09-Mar-2026,1403,INE748C01038
3MINDIA,EQ,34005,34005,33010,33445,33400,34320,2281,76147985.00,09-Mar-2026,1481,INE470A01017
