SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,14670,14725,14660,14660,14660,14569.33,31,454835.00,10-Apr-2026,7,IN0020200104
SGBN28VIII,GB,14633,14860,14633,14750.01,14750.01,14612,223,3286579.44,10-Apr-2026,26,IN0020200286
SGBMAY29I,GB,14602,14830.01,14602,14754.71,14750,14642.09,1189,17516850.35,10-Apr-2026,97,IN0020210053
SGBJUN29II,GB,14523,14798,14523,14792.66,14798,14669.9,680,9980098.20,10-Apr-2026,23,IN0020210061
SGBJU29III,GB,14600,14799,14600,14742.3,14750,14676.16,838,12272499.10,10-Apr-2026,28,IN0020210087
SGBSEP29VI,GB,14940.11,14975,14600,14751.19,14775,14647.17,103,1516956.16,10-Apr-2026,39,IN0020210145
SGBNV29VII,GB,14700,14798.99,14663.02,14749.22,14750,14599.99,166,2443363.61,10-Apr-2026,39,IN0020210178
SGBMAY26,GB,14771.42,14915,14771.42,14850,14850,14771.42,71,1055177.86,10-Apr-2026,16,IN0020180033
SGBNOV26,GB,14800,14810,14700,14800,14800,14800,1124,16635120.00,10-Apr-2026,8,IN0020180314
SGBJUN27,GB,15543.9,15543.9,14500,14500.35,14500,14649.96,114,1665469.36,10-Apr-2026,7,IN0020190073
SGBJUL27,GB,14667.6,14740.93,14501.41,14572.7,14644,14499.99,15,219927.74,10-Apr-2026,5,IN0020190081
SGBAUG27,GB,14640,14879.89,14576.75,14644.69,14636.04,14623.6,95,1393287.33,10-Apr-2026,46,IN0020190107
SGBJAN27,GB,14505,14889.89,14505,14879.99,14879.99,14505,11,163344.62,10-Apr-2026,4,IN0020180462
SGBFEB27,GB,14740,14740,14541,14541,14541,14749.99,3,43822.00,10-Apr-2026,2,IN0020180561
SGBOCT27VI,GB,14921,14921,14900,14900,14900,14750,182,2711823.02,10-Apr-2026,6,IN0020190388
SGBDC27VII,GB,14600,14740,14600,14669.6,14740,14550,105,1537910.19,10-Apr-2026,20,IN0020190461
SGBAPR28I,GB,14851,14949,14851,14949,14949,14799.96,59,879123.05,10-Apr-2026,17,IN0020200062
SGBMAY28,GB,14700,14819.99,14700,14755.56,14790,14573.95,866,12753958.52,10-Apr-2026,35,IN0020200088
SGBJUL28IV,GB,14700,14700,14622.03,14635.5,14635.5,14592,106,1554577.65,10-Apr-2026,36,IN0020200146
SGBAUG28V,GB,14595,14700,14570,14663.15,14679,14554.17,846,12400064.10,10-Apr-2026,157,IN0020200161
SGBSEP28VI,GB,14575,14700,14575,14653.6,14670,14567.77,620,9089289.87,10-Apr-2026,119,IN0020200195
SGBOC28VII,GB,14700,14789.99,14680,14742.08,14680,14808.21,134,1974642.30,10-Apr-2026,34,IN0020200203
SGBJ28VIII,GB,14885.9,14885.9,14885.9,14885.9,14885.9,14693.24,10,148859.00,10-Apr-2026,7,IN0020190537
SGBMAR28X,GB,14454.03,14701.2,14454.03,14652,14660.04,14646.42,40,585259.38,10-Apr-2026,16,IN0020190552
SGBJUL29IV,GB,14788,14788,14650,14672.67,14697,14600.3,180,2646018.79,10-Apr-2026,37,IN0020210111
SGBJAN29IX,GB,14698,14739.99,14634,14646.53,14670,14561.96,63,923414.46,10-Apr-2026,30,IN0020200377
SGBAUG29V,GB,14415.01,14783.99,14415.01,14650.61,14650,14582.18,178,2608826.95,10-Apr-2026,70,IN0020210129
SGBD29VIII,GB,14652,14760,14652,14744.38,14760,14648.17,73,1074731.69,10-Apr-2026,31,IN0020210228
SGBJAN29X,GB,14780,14780,14621.01,14687.48,14621.01,14572.75,115,1685774.64,10-Apr-2026,24,IN0020200385
SGBFEB29XI,GB,14675,14750,14675,14683.33,14675,14649.67,82,1207443.60,10-Apr-2026,21,IN0020200393
SGBMR29XII,GB,14579,14699.99,14579,14626.53,14615,14571.78,381,5576148.71,10-Apr-2026,77,IN0020200427
SGBJUN30,GB,14708,14874.99,14699,14750,14750,14672.48,86,1267116.52,10-Apr-2026,32,IN0020220045
SGBAUG30,GB,14750,14990,14705.02,14747.67,14800,14704.97,106,1572118.36,10-Apr-2026,55,IN0020220078
SGBDE30III,GB,14898.93,14898.93,14801,14804.51,14801.02,14710.34,30,445201.88,10-Apr-2026,19,IN0020220110
SGBJAN30IX,GB,14656,14800,14649.95,14776.15,14700,14668.6,112,1649323.77,10-Apr-2026,37,IN0020210236
SGBMAR30X,GB,14652,14801,14652,14700,14700,14647.11,84,1238067.81,10-Apr-2026,17,IN0020210319
SGBJUN31I,GB,14612,15000,14612,14901.68,14900,14752.7,608,9056059.99,10-Apr-2026,133,IN0020230069
SGBSEP31II,GB,14831,14974.99,14831,14858.17,14860,14830.93,838,12476329.03,10-Apr-2026,176,IN0020230093
SGBDE31III,GB,14900,15049.97,14900,14981.61,14982,14915.92,2060,30875003.85,10-Apr-2026,345,IN0020230168
SGBMAR31IV,GB,14636,14973,14636,14791.4,14785,14719.28,201,2981672.27,10-Apr-2026,74,IN0020220169
SGBFEB32IV,GB,15200,15475,15100.01,15223.16,15201,15095.06,1159,17638301.42,10-Apr-2026,255,IN0020230184
20MICRONS,EQ,159.05,163.87,159.05,162.37,162.1,159.38,97771,15822631.88,10-Apr-2026,2119,INE144J01027
21STCENMGM,EQ,30.34,30.34,29.75,30.34,30.34,29.75,5053,152223.45,10-Apr-2026,15,INE253B01015
360ONE,EQ,998,1022,992.65,1012.65,1013,998.1,1139241,1151904646.05,10-Apr-2026,36706,INE466L01038
GOLD360,EQ,145.6,146.45,145,145.45,146.25,144.9,23822,3479668.90,10-Apr-2026,345,INF579M01BB5
SILVER360,EQ,236.5,236.5,231.62,232.55,233.88,231.13,34273,8017883.37,10-Apr-2026,923,INF579M01BC3
3IINFOLTD,EQ,15.5,15.86,15.36,15.69,15.86,15.37,372688,5809514.62,10-Apr-2026,1112,INE748C01038
3MINDIA,EQ,31450,31705,31210,31475,31580,31050,3579,112738500.00,10-Apr-2026,1974,INE470A01017
3PLAND,EQ,35.2,35.55,34.1,35.35,35.35,35.05,3905,137102.94,10-Apr-2026,104,INE105C01023
5PAISA,EQ,302.6,306.99,301.15,305.11,306.99,300.5,36337,11055122.01,10-Apr-2026,911,INE618L01018
63MOONS,EQ,557,567.8,545.25,549.7,551.5,550.95,153639,85581950.25,10-Apr-2026,5424,INE111B01023
743REC35,NH,1180,1180,1180,1180,1180,1166.01,14,16520.00,10-Apr-2026,1,INE020B07JU4
764NABAR31,N2,1087.11,1098,1087,1093.32,1095,1092.47,1315,1432919.39,10-Apr-2026,18,INE261F07032
764HUDCO31,N8,1104.8,1104.8,1104.01,1104.01,1104.01,1100.71,2,2208.81,10-Apr-2026,2,INE031A07AO5
769HUDCO31,N9,1106.65,1109.79,1106.3,1108.26,1108.99,1109.9,680,753251.69,10-Apr-2026,31,INE031A07AT4
774IREDA31,N7,1109.64,1109.64,1098.01,1108.11,1107,1109.64,3325,3689149.57,10-Apr-2026,15,INE202E07229
812REC27,NI,1085,1085,1085,1085,1085,1085.06,20,21700.00,10-Apr-2026,1,INE020B07GH7
82HUDCO27,N2,1027.06,1030,1024,1026.78,1025.02,1030,51346,52637612.11,10-Apr-2026,117,INE031A07840
830PFCL27,N5,1059,1062,1059,1062,1062,1061.8,8229,8718143.00,10-Apr-2026,18,INE134E07208
850NHAI29,N5,1075.4,1075.4,1075.4,1075.4,1075.4,1075.25,1,1075.40,10-Apr-2026,1,INE906B07DE1
866NTPC33,N3,1399.87,1399.87,1399.87,1399.87,1399.87,1400,90,125988.30,10-Apr-2026,1,INE733E07JG5
875NHAI29,N6,1098,1098,1090.25,1096.39,1096.39,1090,1048,1147519.08,10-Apr-2026,29,INE906B07DF8
876HUDCO28,ND,1122,1122,1120,1120,1120,1111.99,323,361812.05,10-Apr-2026,9,INE031A07949
891NTPC33,N6,1249,1249,1240,1242,1242,1236.25,207,257151.52,10-Apr-2026,7,INE733E07JJ9
892NHPC33,N6,1220,1225,1220,1225,1225,1241,20,24450.00,10-Apr-2026,2,INE848E07567
892PFCL33,N8,1251,1251,1245,1249,1249,1251,309,384950.21,10-Apr-2026,11,INE134E07463
9MMFSML,N2,1072,1072,1071.4,1071.48,1071.5,1071.9,648,694453.72,10-Apr-2026,25,INE774D08MA6
901HUDCO34,NE,1250,1255,1250,1251.1,1251.1,1250,643,804436.40,10-Apr-2026,17,INE031A07AB2
ABCOTS,EQ,406.95,406.95,399.6,405.8,405.95,400.65,15842,6415242.60,10-Apr-2026,324,INE08PH01015
ABINFRA,EQ,16.68,16.74,16,16.2,16.08,16.43,728016,11851685.23,10-Apr-2026,1579,INE00YB01025
AGUL,SM,72,72,72,72,72,69.95,2000,144000.00,10-Apr-2026,1,INE0O6N01012
A2ZINFRA,BE,16.61,17.84,16.61,17.21,17.25,17.23,220902,3811596.27,10-Apr-2026,196,INE619I01012
