SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,15208,15318.86,14806,15166.82,15250,15319.86,374,5680192.59,18-Mar-2026,80,IN0020200104
SGBN28VIII,GB,15347,15347,15228,15283.5,15283.5,15346.8,274,4187992.46,18-Mar-2026,53,IN0020200286
SGBMAY29I,GB,15210,15399.99,15210,15286.23,15399.99,15321.39,920,14031215.86,18-Mar-2026,156,IN0020210053
SGBJUN29II,GB,15289.99,15300,15221,15284.67,15300,15316,462,7054523.33,18-Mar-2026,99,IN0020210061
SGBJU29III,GB,15299.99,15299.99,15217,15275,15275,15320.26,211,3218468.48,18-Mar-2026,37,IN0020210087
SGBSEP29VI,GB,15314,15374,15200,15281.02,15270,15314.4,517,7878306.26,18-Mar-2026,97,IN0020210145
SGBNV29VII,GB,15874,15874,15267.1,15324.45,15301,15547,126,1940541.59,18-Mar-2026,52,IN0020210178
SGBMAY26,GB,15299.99,15299.99,15200,15242.82,15242.82,15398.9,42,639773.27,18-Mar-2026,12,IN0020180033
SGBOCT26,GB,15200,15200,15200,15200,15200,15355,8,121600.00,18-Mar-2026,1,IN0020180249
SGBNOV26,GB,15279,15280,15167.01,15167.01,15167.01,15321,22,336042.01,18-Mar-2026,5,IN0020180314
SGBJUN27,GB,15238.99,15238.99,15199.99,15200.79,15199.99,15349.69,7,106467.94,18-Mar-2026,4,IN0020190073
SGBJUL27,GB,15208.58,15250,15187.01,15221,15221,15285,26,395386.98,18-Mar-2026,12,IN0020190081
SGBAUG27,GB,15235.33,15300,15190,15272.66,15240,15311.89,499,7603411.56,18-Mar-2026,51,IN0020190107
SGBSEP27,GB,15230,15280,15199.99,15280,15280,15300,55,837252.97,18-Mar-2026,12,IN0020190115
SGBOCT27,GB,15227,15227,15217.01,15220,15220,15444,27,410964.51,18-Mar-2026,7,IN0020190370
SGBFEB27,GB,15333,15400,15332,15340,15340,15322.7,18,276113.00,18-Mar-2026,6,IN0020180561
SGBOCT27VI,GB,15260,15260,15205.01,15213,15210,15300,47,716407.67,18-Mar-2026,11,IN0020190388
SGBDC27VII,GB,15200,15300,15180,15251,15251,15310.5,193,2941211.02,18-Mar-2026,32,IN0020190461
SGBAPR28I,GB,15271.19,15325,15231,15318.7,15325,15347.92,445,6791999.61,18-Mar-2026,63,IN0020200062
SGBMAY28,GB,15309.33,15398,15202,15285.03,15299.99,15310.33,269,4094961.17,18-Mar-2026,50,IN0020200088
SGBJUL28IV,GB,15208,15298,15200,15289.41,15298,15319.92,143,2179523.57,18-Mar-2026,50,IN0020200146
SGBFEB28IX,GB,15180,15279.92,15180,15279.92,15279.92,15340,70,1066739.86,18-Mar-2026,11,IN0020190545
SGBAUG28V,GB,15313.99,15313.99,15200,15256.18,15275,15334.23,2240,34109784.67,18-Mar-2026,326,IN0020200161
SGBSEP28VI,GB,15217,15261,15177,15260,15260,15313.17,488,7429253.41,18-Mar-2026,102,IN0020200195
SGBOC28VII,GB,15202,15299,15201,15274.56,15232,15334.85,575,8769668.39,18-Mar-2026,45,IN0020200203
SGBJ28VIII,GB,15279,15279,15279,15279,15279,15304.76,2,30558.00,18-Mar-2026,2,IN0020190537
SGBMAR28X,GB,15302,15302,15248.85,15250,15250,15302.33,31,472886.55,18-Mar-2026,6,IN0020190552
SGBJUL29IV,GB,15251,15418,15205.5,15265,15265,15452.77,363,5537503.91,18-Mar-2026,64,IN0020210111
SGBJAN29IX,GB,15316,15316,15216,15271.33,15298,15382.63,67,1022516.30,18-Mar-2026,26,IN0020200377
SGBAUG29V,GB,15457,15457,15253.03,15380,15380,15457,39,597856.07,18-Mar-2026,26,IN0020210129
SGBD29VIII,GB,15450,15450,15101,15308.3,15300,15444.59,764,11643049.63,18-Mar-2026,136,IN0020210228
SGBJAN29X,GB,15320,15320,15210,15266.86,15250,15350,375,5719678.44,18-Mar-2026,54,IN0020200385
SGBFEB29XI,GB,15487,15487,15230,15250.25,15250,15363.16,357,5444048.58,18-Mar-2026,51,IN0020200393
SGBMR29XII,GB,15250,15444.97,15152,15264.44,15289.91,15350,295,4493456.38,18-Mar-2026,99,IN0020200427
SGBJUN30,GB,15541,15794.94,15410,15677.76,15700,15540,170,2651329.29,18-Mar-2026,59,IN0020220045
SGBAUG30,GB,15549,15550,15400,15435.81,15480,15534.05,207,3200349.96,18-Mar-2026,75,IN0020220078
SGBDE30III,GB,15751.38,15751.38,15512,15571.61,15610,15704.27,461,7183029.50,18-Mar-2026,115,IN0020220110
SGBJAN30IX,GB,15450,15800,15302,15322,15322,15481.84,86,1322596.44,18-Mar-2026,35,IN0020210236
SGBMAR30X,GB,15624,15702.12,15500,15673.54,15700,15533.22,197,3077996.12,18-Mar-2026,66,IN0020210319
SGBJUN31I,GB,15741.09,15750,15601.01,15684.85,15724,15741.09,361,5663737.68,18-Mar-2026,130,IN0020230069
SGBSEP31II,GB,15860,16150,15701,15963.26,16100,15880.58,1806,28582754.21,18-Mar-2026,251,IN0020230093
SGBDE31III,GB,16286.72,16286.72,15680,15826.08,15850.99,15889.49,1572,24868567.28,18-Mar-2026,352,IN0020230168
SGBMAR31IV,GB,15650,15699,15425.56,15595.86,15699,15604.57,256,3976179.77,18-Mar-2026,135,IN0020220169
SGBFEB32IV,GB,16068,16546.89,15921.06,16030.69,16183,16068.81,1778,28513091.58,18-Mar-2026,433,IN0020230184
20MICRONS,EQ,153.21,159.74,153.21,156.03,156.6,153.17,92289,14471068.66,18-Mar-2026,2355,INE144J01027
21STCENMGM,EQ,33.45,33.45,32.34,32.66,33.3,32.99,3590,119069.29,18-Mar-2026,40,INE253B01015
360ONE,EQ,1050,1088.5,1041.5,1069.8,1084.8,1043.4,566638,607191299.50,18-Mar-2026,25976,INE466L01038
GOLD360,EQ,150.05,151.15,149.8,150.55,150.5,150.9,16684,2509335.45,18-Mar-2026,398,INF579M01BB5
SILVER360,EQ,242.64,244.2,239.66,242.76,244.2,246.82,45526,11010439.26,18-Mar-2026,2269,INF579M01BC3
3IINFOLTD,EQ,12.92,13.7,12.85,13.53,13.59,12.72,988596,13157476.86,18-Mar-2026,1800,INE748C01038
3MINDIA,EQ,33150,33645,32890,32975,32950,33110,3580,118377985.00,18-Mar-2026,2847,INE470A01017
3PLAND,EQ,30.24,32.4,29.55,32.05,32.07,29.53,4971,155485.68,18-Mar-2026,161,INE105C01023
5PAISA,EQ,291.1,304.5,290.8,297.35,295.05,291.1,55150,16406022.40,18-Mar-2026,2576,INE618L01018
63MOONS,EQ,542.05,575,542.05,558.6,558.8,546.25,308558,173500672.40,18-Mar-2026,7329,INE111B01023
734IRFC28,N4,1066.4,1066.4,1065.8,1065.8,1065.8,1061.55,5,5329.60,18-Mar-2026,5,INE053F07579
735NABAR31,N1,1083,1083,1080.71,1080.71,1080.71,1100,100,108116.80,18-Mar-2026,2,INE261F07057
743REC35,NH,1160,1171,1160,1171,1171,1152.5,645,752927.85,18-Mar-2026,4,INE020B07JU4
751HUDCO28,N5,1039.52,1055.7,1039.52,1045,1045,1038.8,2010,2100191.30,18-Mar-2026,8,INE031A07865
760PFCL35,N3,1195,1195,1195,1195,1195,1201.49,50,59750.00,18-Mar-2026,1,INE134E07588
764NABAR31,N2,1087.2,1088,1081,1081,1081,1087.14,1089,1178568.23,18-Mar-2026,17,INE261F07032
764HUDCO31,N8,1096.99,1096.99,1096.99,1096.99,1096.99,1090.51,1,1096.99,18-Mar-2026,1,INE031A07AO5
769HUDCO31,N9,1102,1102,1102,1102,1102,1099,200,220400.00,18-Mar-2026,4,INE031A07AT4
774IREDA31,N7,1098.99,1098.99,1098.99,1098.99,1098.99,1099,87,95612.13,18-Mar-2026,4,INE202E07229
812REC27,NI,1081.5,1083.9,1081,1083.9,1083.9,1081.7,3360,3632695.05,18-Mar-2026,28,INE020B07GH7
82HUDCO27,N2,1026,1028,1025.05,1026.6,1028,1026,3046,3125898.95,18-Mar-2026,6,INE031A07840
830PFCL27,N5,1058.9,1059,1058,1058,1058,1059.1,500,529472.00,18-Mar-2026,3,INE134E07208
850NHAI29,N5,1085,1085,1079.11,1079.61,1079.19,1080.04,825,890840.87,18-Mar-2026,9,INE906B07DE1
851HUDCO28,NB,1101,1101,1101,1101,1101,1094.3,270,297270.00,18-Mar-2026,1,INE031A07915
872MMFSL26,N1,1004,1004,1004,1004,1004,1004,64,64256.00,18-Mar-2026,3,INE774D08LU6
875NHAI29,N6,1093,1095,1092.67,1094.95,1094.95,1087.23,3785,4137618.51,18-Mar-2026,48,INE906B07DF8
876HUDCO28,ND,1105,1107.45,1102,1107.45,1107.45,1107,965,1065898.50,18-Mar-2026,9,INE031A07949
891IIFCL34,N4,1240,1240,1240,1240,1240,1223.08,10,12400.00,18-Mar-2026,1,INE787H07370
892NHPC33,N6,1200.2,1234,1200.2,1201.73,1234,1310,415,498719.00,18-Mar-2026,3,INE848E07567
892PFCL33,N8,1233,1235.8,1233,1235.8,1235.8,1234.98,125,154263.00,18-Mar-2026,7,INE134E07463
9MMFSML,N2,1070,1070,1014.6,1065,1065,1070,1117,1183951.53,18-Mar-2026,16,INE774D08MA6
901HUDCO34,NE,1237,1248.9,1237,1240,1240,1238,219,271349.00,18-Mar-2026,7,INE031A07AB2
ABCOTS,EQ,409.8,411.9,395.5,402.4,395.5,405.65,15875,6438005.90,18-Mar-2026,762,INE08PH01015
ABINFRA,EQ,17.14,17.6,16.85,17.34,17.6,17.19,2601237,44728860.01,18-Mar-2026,1469,INE00YB01025
A2ZINFRA,BE,15.22,16.08,15.22,16.08,16.08,15.32,184763,2960016.38,18-Mar-2026,168,INE619I01012
AAATECH,EQ,93.04,97.68,93.04,94.1,94.5,93.77,22172,2115525.54,18-Mar-2026,496,INE0D0U01013
AADHARHFC,EQ,482.45,482.45,472.1,478.4,474,480.55,225872,107864247.75,18-Mar-2026,8869,INE883F01010
AAKAAR,ST,53,53.65,53,53.1,53.1,51.1,16000,850320.00,18-Mar-2026,8,INE1GYP01013
AAKASH,BE,8.3,9.14,8.29,9.1,9.13,8.72,428571,3657700.35,18-Mar-2026,1140,INE087Z01024
AAREYDRUGS,EQ,66.56,73.2,66.56,71.96,71.5,66.55,302575,21889927.70,18-Mar-2026,1486,INE198H01019
AARNAV,EQ,24.53,26.49,24.33,25.02,26.44,24.53,462786,11628146.86,18-Mar-2026,607,INE750R01016
AARON,EQ,139.05,143.08,139.05,140.29,140.9,141.43,8704,1224734.15,18-Mar-2026,395,INE721Z01010
AARTECH,EQ,42.05,48.5,40.5,47.29,47.7,41.85,225285,10287459.52,18-Mar-2026,1145,INE01C001026
AARTIDRUGS,EQ,336,349.9,332.85,341.15,340.5,334.15,127988,43850400.85,18-Mar-2026,4581,INE767A01016
AARTIIND,EQ,424.95,437.65,422.75,432.9,434.25,424.95,470759,203381371.40,18-Mar-2026,17339,INE769A01020
AARTIPHARM,EQ,644.05,661.95,639.9,656.05,653,644.55,143588,94219997.60,18-Mar-2026,13677,INE0LRU01027
AARTISURF,EQ,348.35,364.95,346.05,352.6,349,346.5,51942,18301433.65,18-Mar-2026,1772,INE09EO01013
AARTISURF,P1,205,205,205,205,205,205,1,205.00,18-Mar-2026,1,INE09EO04017
AARVI,EQ,128.37,132.75,127.26,129.11,128,127.24,11885,1541671.15,18-Mar-2026,606,INE754X01016
AATMAJ,SM,18.55,18.75,18.4,18.45,18.45,19.5,14000,259500.00,18-Mar-2026,7,INE0OB201016
AAVAS,EQ,1101.6,1131,1096.8,1123.7,1125.6,1101.6,510227,568086920.20,18-Mar-2026,42064,INE216P01012
AFSL,EQ,201.99,201.99,201,201.17,201,201.13,34837,7008132.02,18-Mar-2026,119,INE00ZE01026
ABB,EQ,6320.5,6415.5,6280.5,6337.5,6329.5,6310.5,280678,1782098078.50,18-Mar-2026,39988,INE117A01022
ABBOTINDIA,EQ,26500,26700,26275,26375,26390,26450,8384,222305955.00,18-Mar-2026,3049,INE358A01014
ABMINTLLTD,BE,45.36,45.95,45.3,45.3,45.3,45.35,387,17656.63,18-Mar-2026,6,INE251C01025
ABSMARINE,SM,165.8,168.5,163.75,163.95,163.75,162.75,77500,12771875.00,18-Mar-2026,58,INE0QRV01016
ACC,EQ,1385.1,1409.5,1376.4,1405.2,1405,1385,201573,282345456.60,18-Mar-2026,14874,INE012A01025
ACCELYA,EQ,1188,1205,1172.2,1197.2,1200,1181.2,9192,10993461.20,18-Mar-2026,927,INE793A01012
ACCENTMIC,SM,342.5,363,342.45,360.6,360.05,340.1,81000,28859050.00,18-Mar-2026,130,INE0Q5D01013
ACCPL,SM,66.8,66.8,64.05,64.05,64.05,63.75,4800,317340.00,18-Mar-2026,4,INE0T8T01010
ACCURACY,EQ,4.08,4.13,3.94,4.05,4.08,4,85989,345767.50,18-Mar-2026,377,INE648Z01023
ACEINTEG,EQ,16.61,17.22,16.4,16.73,17.08,17.35,4267,71517.19,18-Mar-2026,123,INE543V01017
ACETEC,ST,127.75,139.3,127.75,133,135,134.45,470400,62521800.00,18-Mar-2026,57,INE1J6M01010
ACMESOLAR,EQ,249.9,253,245.37,248.69,247.16,247.01,695731,174166880.44,18-Mar-2026,16477,INE622W01025
ACE,EQ,828.9,852.4,826.1,844.55,847.1,820.9,183126,154112471.95,18-Mar-2026,13609,INE731H01025
ACUTAAS,EQ,2300,2320.2,2250,2257.8,2253,2302.6,200845,458476886.90,18-Mar-2026,29848,INE00FF01025
ADANIENSOL,EQ,1000,1043.8,1000,1036.7,1031.7,1000.6,1643508,1688405747.00,18-Mar-2026,37707,INE931S01010
ADANIENT,EQ,1988.9,2027,1982.2,2007.2,2008,1975.4,1041095,2094608371.70,18-Mar-2026,53221,INE423A01024
ADANIGREEN,EQ,872.05,904,871.55,891.3,890,868.65,2315274,2055503663.35,18-Mar-2026,38946,INE364U01010
ADANIPORTS,EQ,1367.1,1411.1,1367.1,1401.9,1401.8,1365.5,1956685,2732382798.00,18-Mar-2026,82283,INE742F01042
ADANIPOWER,EQ,156,156.5,151.3,154.07,154.1,155.6,28773212,4429164054.47,18-Mar-2026,136496,INE814H01029
ATGL,EQ,520,520.4,508.05,515.65,515,516.85,2891422,1490611316.45,18-Mar-2026,44148,INE399L01023
ADDICTIVE,SM,80.5,82.1,77.5,80.05,80,81.5,81000,6394950.00,18-Mar-2026,60,INE0RDH01021
ADFFOODS,EQ,180.71,188,180.5,185.24,188,179.71,77964,14449849.00,18-Mar-2026,1885,INE982B01027
ABSLAMC,EQ,966,990.85,958.4,969.45,970,958.2,539416,526355754.60,18-Mar-2026,28997,INE404A01024
ABCAPITAL,EQ,319.7,329.35,318.75,328.45,328.4,318.65,2594538,845785779.80,18-Mar-2026,40431,INE674K01013
ABFRL,EQ,58.55,60.75,58.55,59.23,59.28,58.19,6279922,373650348.48,18-Mar-2026,35062,INE647O01011
ABLBL,EQ,97.74,99.65,96.3,98.8,98.99,97.29,1742703,171297526.34,18-Mar-2026,18985,INE14LE01019
BIRLAMONEY,EQ,118.19,119.58,115.29,116.9,117.97,115.33,97014,11442631.46,18-Mar-2026,1153,INE865C01022
ABREL,EQ,1129.9,1246,1117.2,1217.4,1223,1121,989501,1199577993.80,18-Mar-2026,64075,INE055A01016
CPPLUS,EQ,1619.8,1696.9,1601,1683.9,1666.5,1611.5,166636,279171183.30,18-Mar-2026,23259,INE819V01029
AUSL,SM,20.4,20.4,19.9,20,20,20.9,10000,201400.00,18-Mar-2026,5,INE01YQ01013
AVL,EQ,447.9,455.55,444.05,449.85,451.1,447.1,116593,52548925.65,18-Mar-2026,7809,INE679V01027
BSLGOLDETF,EQ,132.94,136.35,132.94,135.86,135.56,136.35,217102,29435511.15,18-Mar-2026,2029,INF209KB18D3
BSLNIFTY,EQ,26.78,28.15,26.78,27.77,27.8,27.47,421132,11672486.56,18-Mar-2026,4247,INF209KB19D1
ADOR,EQ,946.7,988,941.7,970.8,971,941.7,6873,6657218.50,18-Mar-2026,1671,INE045A01017
ADROITINFO,EQ,9.23,9.4,9.1,9.19,9.19,9.15,56862,523957.54,18-Mar-2026,131,INE737B01033
ADVAIT,EQ,1544.2,1649.8,1544.2,1627.4,1625,1544.2,22655,36413818.50,18-Mar-2026,3045,INE0ALI01010
ADVANCE,EQ,99,103.99,99,101.2,101.09,98.99,226460,23137107.43,18-Mar-2026,1707,INE1B0W01010
ADVENZYMES,EQ,282.2,285,280.1,281.9,282,280.7,74285,21031448.55,18-Mar-2026,1876,INE837H01020
