SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,15455,15799.99,15455,15754.89,15750.01,15275.05,1165,18238555.16,09-Feb-2026,115,IN0020200104
SGBN28VIII,GB,15403.3,15999,15403.3,15727.75,15779,15348.5,106,1666172.61,09-Feb-2026,46,IN0020200286
SGBMAY29I,GB,15499,15850.01,15417.56,15782.25,15813.5,15302.97,1024,16106131.81,09-Feb-2026,184,IN0020210053
SGBJUN29II,GB,15502,15900,15502,15732.34,15725,15459.39,163,2559422.67,09-Feb-2026,49,IN0020210061
SGBJU29III,GB,15501,15799,15501,15766.22,15752.45,15316.41,103,1617296.95,09-Feb-2026,38,IN0020210087
SGBSEP29VI,GB,15874,15874,15551,15768.22,15766,15358.61,188,2958590.39,09-Feb-2026,51,IN0020210145
SGBNV29VII,GB,15773,15807.99,15720.01,15800,15800,15273.33,127,2002060.03,09-Feb-2026,45,IN0020210178
SGBMAY26,GB,15450,15697.79,15430.01,15599.9,15599.9,15410.61,57,886969.39,09-Feb-2026,15,IN0020180033
SGBOCT26,GB,15789,15789,15789,15789,15789,15306,2,31578.00,09-Feb-2026,1,IN0020180249
SGBDEC26,GB,15420,16029.75,15420,16028.89,16028.75,17044,24,379591.25,09-Feb-2026,8,IN0020180389
SGBJUL27,GB,15650,15700,15507.01,15700,15700,15299,20,311763.09,09-Feb-2026,4,IN0020190081
SGBAUG27,GB,15871.7,16000,15871,15879,15879,15873.7,21,334079.80,09-Feb-2026,12,IN0020190107
SGBSEP27,GB,15666,15850,15666,15850,15850,15192.1,6,94308.00,09-Feb-2026,4,IN0020190115
SGBJAN27,GB,15452.01,15749,15452.01,15469.11,15469.11,15299,10,156056.35,09-Feb-2026,4,IN0020180462
SGBOCT27,GB,15751.36,15908,15501,15501,15501,15751.36,16,252074.36,09-Feb-2026,9,IN0020190370
SGBFEB27,GB,17699,17699,17699,17699,17699,18284,1,17699.00,09-Feb-2026,1,IN0020180561
SGBOCT27VI,GB,15356.21,15699,15356.21,15699,15699,15305,9,140911.21,09-Feb-2026,7,IN0020190388
SGBDC27VII,GB,15351.01,16300,15350.01,15699.91,15700.02,15349,109,1708264.72,09-Feb-2026,41,IN0020190461
SGBAPR28I,GB,15701,15848.85,15461.01,15797.9,15795.47,15323.24,287,4514479.69,09-Feb-2026,109,IN0020200062
SGBMAY28,GB,15506,15800.01,15501,15755.58,15701,15329.86,334,5236117.49,09-Feb-2026,65,IN0020200088
SGBJUL28IV,GB,15701,15818,15649,15715.09,15710,15304.93,699,10999472.05,09-Feb-2026,94,IN0020200146
SGBFEB28IX,GB,15501,15651,15501,15651,15651,15500,16,248186.00,09-Feb-2026,6,IN0020190545
SGBAUG28V,GB,15887,15892.98,15634.05,15867.54,15852,15326.8,1189,18782437.90,09-Feb-2026,294,IN0020200161
SGBSEP28VI,GB,15581,15846.84,15502.01,15759.78,15751,15301.82,385,6060470.66,09-Feb-2026,94,IN0020200195
SGBOC28VII,GB,15351.01,15880,15351.01,15710.76,15710,15299.23,157,2460361.52,09-Feb-2026,42,IN0020200203
SGBJ28VIII,GB,15600,15798.99,15600,15798.99,15798.99,15592,14,218787.99,09-Feb-2026,3,IN0020190537
SGBMAR28X,GB,15652.6,15898.98,15502.01,15502.01,15502.01,15349,53,832500.95,09-Feb-2026,20,IN0020190552
SGBJUL29IV,GB,15994,15994,15552,15702.88,15705.04,15311.62,228,3602555.74,09-Feb-2026,51,IN0020210111
SGBJAN29IX,GB,15502.4,15800,15430,15759.42,15736,15304.95,676,10645101.76,09-Feb-2026,104,IN0020200377
SGBAUG29V,GB,16000,16100.01,15871,15963.39,15999.99,15786.47,314,5030029.90,09-Feb-2026,77,IN0020210129
SGBD29VIII,GB,16240,16240,15700,15810.57,15810,15590.5,205,3239540.02,09-Feb-2026,69,IN0020210228
SGBJAN29X,GB,15666,15785,15600,15760,15760,15298.5,165,2590274.20,09-Feb-2026,47,IN0020200385
SGBFEB29XI,GB,15992.85,15998,15525.01,15772.33,15791,15348.17,146,2296305.78,09-Feb-2026,46,IN0020200393
SGBMR29XII,GB,15650,15830,15547.95,15779.1,15800,15304.15,240,3781536.47,09-Feb-2026,58,IN0020200427
SGBJUN30,GB,15999,16399,15804,16050,16050,15551,186,2976927.02,09-Feb-2026,78,IN0020220045
SGBAUG30,GB,16157.56,16495.9,16006,16195.07,16223,16047.75,225,3639071.08,09-Feb-2026,85,IN0020220078
SGBDE30III,GB,16085.01,16265,16084.01,16133.63,16125,15767.64,158,2553803.47,09-Feb-2026,81,IN0020220110
SGBJAN30IX,GB,15778,15901.01,15750.22,15824.13,15819,15609.5,235,3716195.54,09-Feb-2026,81,IN0020210236
SGBMAR30X,GB,15721.01,16001,15721.01,15864.23,15860,15716.67,92,1463273.51,09-Feb-2026,40,IN0020210319
SGBJUN31I,GB,16302.44,16383.95,16113.03,16162.05,16170,15903.85,911,14815549.18,09-Feb-2026,240,IN0020230069
SGBSEP31II,GB,16212,16455.87,16055,16264.15,16256.01,16015.36,1147,18685570.42,09-Feb-2026,251,IN0020230093
SGBDE31III,GB,16506.56,16724.99,16111,16536.08,16500,16285.6,2589,42830807.64,09-Feb-2026,443,IN0020230168
SGBMAR31IV,GB,16121,16199.92,15804,16083.5,16099.99,15800.37,2232,35628513.20,09-Feb-2026,192,IN0020220169
SGBFEB32IV,GB,18117.56,18500,18059.25,18146.79,18100,17811.58,1956,35654339.10,09-Feb-2026,529,IN0020230184
20MICRONS,EQ,172.6,187.05,172.6,183.87,184.25,171.02,284350,51742500.11,09-Feb-2026,5980,INE144J01027
21STCENMGM,EQ,41.11,41.11,39.55,39.88,39.66,40.31,10921,440698.99,09-Feb-2026,106,INE253B01015
360ONE,EQ,1114.9,1140,1114.9,1138.3,1138,1113.9,357498,403719206.00,09-Feb-2026,13376,INE466L01038
GOLD360,EQ,147.1,151.8,147.1,151.35,151.5,145.85,124685,18784300.05,09-Feb-2026,1567,INF579M01BB5
SILVER360,EQ,245.65,254.55,245.65,253.05,253.9,230.77,209766,52568653.63,09-Feb-2026,4112,INF579M01BC3
3IINFOLTD,EQ,15.21,15.7,15.07,15.54,15.57,15.21,338687,5223334.64,09-Feb-2026,1328,INE748C01038
3MINDIA,EQ,35355,37740,35200,36485,36400,35190,7114,256839485.00,09-Feb-2026,4033,INE470A01017
3PLAND,EQ,34.56,36.15,34.06,35.49,35.54,34.56,9291,323411.51,09-Feb-2026,96,INE105C01023
5PAISA,EQ,329.6,343.7,329.3,340.8,336.35,329.25,45424,15271617.10,09-Feb-2026,1951,INE618L01018
63MOONS,EQ,634,727.75,633.95,709.85,710,634.2,1075259,750635221.35,09-Feb-2026,25671,INE111B01023
743REC35,NH,1170,1170,1170,1170,1170,1164,40,46800.00,09-Feb-2026,1,INE020B07JU4
751HUDCO28,N5,1038.99,1038.99,1037.99,1037.99,1037.99,1035,637,661200.63,09-Feb-2026,3,INE031A07865
760PFCL35,N3,1167.61,1167.61,1167.61,1167.61,1167.61,1167.06,83,96911.63,09-Feb-2026,1,INE134E07588
764NABAR31,N2,1149.01,1149.2,1149.01,1149.2,1149.2,1149.05,33,37919.04,09-Feb-2026,6,INE261F07032
764HUDCO31,N8,1095.6,1104.4,1095.6,1104.4,1104.4,1098.7,1214,1332999.10,09-Feb-2026,8,INE031A07AO5
769HUDCO31,N9,1100.35,1104,1100.35,1104,1104,1100.35,50,55105.10,09-Feb-2026,2,INE031A07AT4
774IREDA31,N7,1094,1098,1094,1098,1098,1094,119,130658.00,09-Feb-2026,3,INE202E07229
82HUDCO27,N2,1108,1108,1108,1108,1108,1108,100,110800.00,09-Feb-2026,1,INE031A07840
830PFCL27,N5,1055,1055,1055,1055,1055,1055,1,1055.00,09-Feb-2026,1,INE134E07208
866IIFC34B,N3,1220.1,1220.1,1220.1,1220.1,1220.1,1197.8,10,12201.00,09-Feb-2026,1,INE787H07347
872MMFSL26,N1,1018,1018.69,1018,1018.69,1018.69,1017,20,20370.35,09-Feb-2026,2,INE774D08LU6
875NHAI29,N6,1174.5,1178.5,1174.15,1175.9,1175.9,1174.15,578,679440.80,09-Feb-2026,13,INE906B07DF8
891IIFCL34,N4,1230,1230,1230,1230,1230,1224.94,1,1230.00,09-Feb-2026,1,INE787H07370
891NTPC33,N6,1226,1229.99,1225,1226.98,1226.98,1225.7,316,387362.14,09-Feb-2026,20,INE733E07JJ9
892NHPC33,N6,1302,1302,1290,1302,1302,1302,659,852639.00,09-Feb-2026,10,INE848E07567
892PFCL33,N8,1239,1239,1229.1,1230.05,1229.1,1234.99,1365,1681487.99,09-Feb-2026,17,INE134E07463
9MMFSML,N2,1056,1060,1056,1058.06,1058.05,1058.08,742,784267.40,09-Feb-2026,23,INE774D08MA6
901HUDCO34,NE,1239.5,1260,1235,1235.02,1235,1240,2267,2810086.43,09-Feb-2026,21,INE031A07AB2
ABCOTS,EQ,430.8,440,420,438.25,430,427.75,15024,6502209.85,09-Feb-2026,772,INE08PH01015
ABINFRA,EQ,21,21,19.8,20.18,20.03,20.4,766408,15729204.09,09-Feb-2026,1650,INE00YB01025
AGUL,SM,69.6,73.5,69.6,73.5,73.5,70.3,22000,1552800.00,09-Feb-2026,5,INE0O6N01012
A2ZINFRA,EQ,14.04,14.5,13.9,14.22,14.25,14,293348,4166670.70,09-Feb-2026,730,INE619I01012
AAATECH,BE,100.39,102.5,99,101.25,101.3,99,19885,2011312.65,09-Feb-2026,287,INE0D0U01013
AADHARHFC,EQ,474.85,479.95,473.4,477.5,476.55,474.7,311328,148810520.55,09-Feb-2026,12994,INE883F01010
AAKAAR,SM,51,51,51,51,51,51,3200,163200.00,09-Feb-2026,2,INE1GYP01013
AAKASH,EQ,7.68,8.14,7.68,7.81,7.77,7.8,81559,640498.95,09-Feb-2026,337,INE087Z01024
AARADHYA,SM,115,115,115,115,115,115,1200,138000.00,09-Feb-2026,1,INE124401014
AAREYDRUGS,EQ,67.18,70.5,67,69.73,69.5,67.18,97540,6779326.68,09-Feb-2026,939,INE198H01019
AARON,EQ,164.31,166.04,162.61,164.67,164,163.22,9560,1570790.41,09-Feb-2026,392,INE721Z01010
AARTECH,EQ,46.6,52.39,46.01,48.5,48.1,46.08,115038,5628584.10,09-Feb-2026,1538,INE01C001026
AARTIDRUGS,EQ,380,380.05,374.9,377.15,376.55,374.65,123205,46447477.45,09-Feb-2026,5584,INE767A01016
AARTIIND,EQ,448.9,471.9,443.15,470.4,468.2,440.95,3345576,1547529352.00,09-Feb-2026,72799,INE769A01020
AARTIPHARM,EQ,785,799.8,771.1,794.75,799,776.8,210831,166043667.40,09-Feb-2026,13585,INE0LRU01027
AARTISURF,EQ,426.8,448,426.8,441.8,432,426.75,12265,5357062.85,09-Feb-2026,971,INE09EO01013
AARTISURF,P1,195.55,200,195.55,198.45,197.95,195.55,258,51141.40,09-Feb-2026,9,INE09EO04017
AARVI,EQ,130.97,134,129,131.07,129.3,130.97,29996,3964891.97,09-Feb-2026,822,INE754X01016
AAVAS,EQ,1305.2,1338,1282.5,1328,1327,1301.4,256422,337834494.10,09-Feb-2026,20411,INE216P01012
ABAN,BE,21.49,21.49,20.7,20.94,21.26,21.25,86519,1834029.63,09-Feb-2026,392,INE421A01028
AFSL,EQ,202,220,202,213.23,217,202.79,21453,4525719.91,09-Feb-2026,616,INE00ZE01026
ABB,EQ,5845,5850,5748,5815.5,5815.5,5816,137449,798238204.00,09-Feb-2026,18100,INE117A01022
ABBOTINDIA,EQ,27450,27700,27305,27480,27475,27365,10042,275849480.00,09-Feb-2026,3482,INE358A01014
78ABCL33,N1,1050,1050,1050,1050,1050,1030,28,29400.00,09-Feb-2026,1,INE860H07IP2
ABHAPOWER,SM,33,33,33,33,33,32.9,3200,105600.00,09-Feb-2026,2,INE0UYG01015
ABMINTLLTD,EQ,42,47.79,41.4,44.43,42.73,43.03,1438,63723.55,09-Feb-2026,30,INE251C01025
ABSMARINE,SM,176,180,174.2,178.8,180,173.25,57000,10149925.00,09-Feb-2026,85,INE0QRV01016
ACC,EQ,1671.9,1709.8,1671.9,1706.1,1705,1667.4,131395,222768551.00,09-Feb-2026,9012,INE012A01025
ACCELYA,EQ,1252.8,1267.5,1201,1211.7,1206.6,1274.2,80558,98861125.90,09-Feb-2026,5952,INE793A01012
ACCENTMIC,SM,331,339.95,331,335.05,335.05,330,15500,5234500.00,09-Feb-2026,29,INE0Q5D01013
ACCPL,ST,66.7,68.5,66.7,67.05,67.05,66.6,10800,729300.00,09-Feb-2026,8,INE0T8T01010
ACCURACY,EQ,5.14,5.29,5.11,5.18,5.2,5.14,58214,300838.59,09-Feb-2026,407,INE648Z01023
ACEINTEG,EQ,19.61,20.3,19.18,19.24,20.21,19.59,6851,132609.49,09-Feb-2026,86,INE543V01017
ACMESOLAR,EQ,224.99,230,222,228.03,228,221.59,443783,100680219.73,09-Feb-2026,9514,INE622W01025
ACE,EQ,926,940,921,923.05,921,919.45,211355,195862659.45,09-Feb-2026,12298,INE731H01025
