SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,15500.01,16100,15500,15853.93,15851,15165.17,380,6019884.15,13-May-2026,79,IN0020200104
SGBN28VIII,GB,15400,15950.01,15400,15859.96,15862,15182.94,1015,16039019.76,13-May-2026,108,IN0020200286
SGBMAY29I,GB,15500,16537.95,15500,15926.76,15910,15237.95,2136,33966987.91,13-May-2026,245,IN0020210053
SGBJUN29II,GB,15500,16299,15500,15939.49,15947,15236.66,316,5018111.33,13-May-2026,95,IN0020210061
SGBJU29III,GB,15500,16051,15500,15890,15890,15251.23,588,9352921.46,13-May-2026,72,IN0020210087
SGBSEP29VI,GB,16250,16250,15725,15901.72,15890,15354.8,785,12468567.19,13-May-2026,185,IN0020210145
SGBNV29VII,GB,15310,15999,15310,15892.61,15880,15299.09,622,9889890.05,13-May-2026,121,IN0020210178
SGBOCT26,GB,15430,16600,15430,15948.99,15948.99,15150,48,761212.90,13-May-2026,20,IN0020180249
SGBNOV26,GB,15300.01,16000,15300.01,15994.5,15995,15271.87,128,2028055.96,13-May-2026,23,IN0020180314
SGBDEC26,GB,15800,15900,15800,15900,15900,15123.99,158,2511415.94,13-May-2026,22,IN0020180389
SGBJUN27,GB,15399,15900,15399,15801,15801,15150,80,1241841.00,13-May-2026,6,IN0020190073
SGBJUL27,GB,15333.49,16000,15333.49,15850,15850,15000,110,1745127.32,13-May-2026,19,IN0020190081
SGBAUG27,GB,15700,16050,15700,15836.25,15811,15118.74,189,2994514.75,13-May-2026,59,IN0020190107
SGBSEP27,GB,15950,15950,15750.01,15809.49,15801,15100,31,490661.43,13-May-2026,11,IN0020190115
SGBJAN27,GB,15087.74,16538.63,15087.74,15807.5,15735.01,15035.12,25,393637.38,13-May-2026,12,IN0020180462
SGBOCT27,GB,15101,15990,15101,15898.99,15898.99,15025.02,48,748378.99,13-May-2026,16,IN0020190370
SGBFEB27,GB,16000,16056,15899.99,15948,15948,15150,46,731803.97,13-May-2026,7,IN0020180561
SGBOCT27VI,GB,15430,16000,15430,15820,15820,15082.83,122,1932350.44,13-May-2026,15,IN0020190388
SGBDC27VII,GB,15500,16600,15500,15801.35,15801.32,15191.32,33,524406.73,13-May-2026,8,IN0020190461
SGBAPR28I,GB,15316.56,16598,15316.56,15849.99,15850,15131,343,5443941.67,13-May-2026,117,IN0020200062
SGBMAY28,GB,15306,16000,15306,15872.7,15865,15184.24,382,6079970.58,13-May-2026,60,IN0020200088
SGBJUL28IV,GB,15436.56,16000,15436.56,15852.26,15825,15124.08,1498,23738701.48,13-May-2026,182,IN0020200146
SGBFEB28IX,GB,15142.83,15900.83,15142.83,15850,15850,15000.11,70,1105787.35,13-May-2026,15,IN0020190545
SGBAUG28V,GB,15500,16050,15500,15853.74,15840,15151.88,3887,61688348.08,13-May-2026,454,IN0020200161
SGBSEP28VI,GB,15341.5,16000,15341.5,15841.46,15840,15120.35,1092,17295865.57,13-May-2026,180,IN0020200195
SGBOC28VII,GB,15975,15990,15800,15868.2,15868.2,15130,529,8392690.09,13-May-2026,72,IN0020200203
SGBJ28VIII,GB,15940,15940,15805.01,15806,15806,15100,83,1312286.58,13-May-2026,10,IN0020190537
SGBMAR28X,GB,15999.99,15999.99,15616,15811,15811,15104.32,22,348671.10,13-May-2026,10,IN0020190552
SGBJUL29IV,GB,15230,16006,15230,15860.05,15900,15220.39,825,13080212.24,13-May-2026,166,IN0020210111
SGBJAN29IX,GB,15500,16049.5,15500,15850,15850,15181,689,10908908.02,13-May-2026,110,IN0020200377
SGBAUG29V,GB,15950,16000,15452,15856.16,15850,15256.15,496,7872824.91,13-May-2026,103,IN0020210129
SGBD29VIII,GB,15777,16590,15740.9,15889.95,15885.01,15260.01,542,8611870.94,13-May-2026,126,IN0020210228
SGBJAN29X,GB,15510,15990,15510,15850.37,15850,15169,477,7563270.64,13-May-2026,70,IN0020200385
SGBFEB29XI,GB,15900,15999,15751,15873.25,15850,15130.5,233,3697855.38,13-May-2026,61,IN0020200393
SGBMR29XII,GB,15500,16000,15500,15864.4,15860,15162.37,611,9681385.07,13-May-2026,149,IN0020200427
SGBJUN30,GB,15950,16150,15815,15911.64,15900,15341.66,567,9049013.01,13-May-2026,162,IN0020220045
SGBAUG30,GB,15606,16150,15606,15995.64,15931,15350,644,10287043.67,13-May-2026,151,IN0020220078
SGBDE30III,GB,15606,16275,15606,16027.91,16007,15423.2,516,8269557.30,13-May-2026,176,IN0020220110
SGBJAN30IX,GB,15800,16195.98,15406.01,15930.68,15920.11,15298.97,278,4422566.83,13-May-2026,78,IN0020210236
SGBMAR30X,GB,16000,16000,15805,15948.33,15935,15300,157,2503607.25,13-May-2026,52,IN0020210319
SGBJUN31I,GB,16290,16500,16001.01,16266.44,16299.99,15551.3,1928,31207027.83,13-May-2026,337,IN0020230069
SGBSEP31II,GB,15601,16302,15601,16225.62,16199,15578.29,3418,55469058.76,13-May-2026,461,IN0020230093
SGBDE31III,GB,16263.56,16969.98,15850,16323.27,16300,15801.99,3025,49310699.76,13-May-2026,509,IN0020230168
SGBMAR31IV,GB,16000,16299,15800,16137.83,16150,15523.92,830,13377760.00,13-May-2026,179,IN0020220169
SGBFEB32IV,GB,16198,16902,16198,16560.49,16531.01,16098.66,2974,49293530.94,13-May-2026,582,IN0020230184
20MICRONS,EQ,177.5,179.39,174.33,176.43,176.02,174.65,54782,9699328.70,13-May-2026,1629,INE144J01027
21STCENMGM,EQ,32.99,33.95,32.99,33.03,33,33.65,2124,70294.04,13-May-2026,33,INE253B01015
360ONE,EQ,1070,1100,1070,1077.5,1084.9,1078.1,568085,618720906.10,13-May-2026,20757,INE466L01038
GOLD360,EQ,149,157.35,149,153.8,155.45,147.3,111409,17128368.10,13-May-2026,1275,INF579M01BB5
SILVER360,EQ,261.55,277.76,261.55,276.71,277.64,258.59,121222,33204736.42,13-May-2026,1924,INF579M01BC3
3BBLACKBIO,EQ,1221.3,1316,1221.3,1290.8,1299,1234.2,12071,15429473.00,13-May-2026,770,INE994E01018
