SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,15101,15194.77,15031.02,15124,15124,15001.6,173,2612519.19,16-Apr-2026,42,IN0020200104
SGBN28VIII,GB,15101,15277,15101,15175.01,15175,15097.42,76,1153490.12,16-Apr-2026,23,IN0020200286
SGBMAY29I,GB,15290,15290,15135.01,15171.14,15166,15092.69,380,5767382.78,16-Apr-2026,79,IN0020210053
SGBJUN29II,GB,15030,15223,15011,15110,15110,15025.76,112,1691969.61,16-Apr-2026,36,IN0020210061
SGBJU29III,GB,15090,15248.99,15090,15187.5,15195,15038.5,81,1227720.45,16-Apr-2026,33,IN0020210087
SGBSEP29VI,GB,15150,15250,15034,15173.5,15176,15150,249,3770683.49,16-Apr-2026,58,IN0020210145
SGBNV29VII,GB,15150,15485,15150,15240,15240,15110,25,383458.00,16-Apr-2026,10,IN0020210178
SGBMAY26,GB,15161,15180,15150,15180,15180,15100,13,197031.00,16-Apr-2026,6,IN0020180033
SGBNOV26,GB,15151,15151,15125,15126.71,15126.01,15102,148,2238956.24,16-Apr-2026,5,IN0020180314
SGBJUN27,GB,15150,15300,15100,15100,15100,15005,55,834700.00,16-Apr-2026,4,IN0020190073
SGBAUG27,GB,15150,15150,15000,15117.57,15110,15073.07,122,1842228.00,16-Apr-2026,37,IN0020190107
SGBSEP27,GB,15499.99,15499.99,15499.99,15499.99,15499.99,15000,1,15499.99,16-Apr-2026,1,IN0020190115
SGBFEB27,GB,15010.8,15075.01,14999.99,15054.52,15058.73,15050,182,2735666.50,16-Apr-2026,28,IN0020180561
SGBOCT27VI,GB,15036.01,15190,15036.01,15150.01,15150.01,15092.87,46,696370.09,16-Apr-2026,5,IN0020190388
SGBDC27VII,GB,15150,15174.99,15100,15174.99,15174.99,15000.01,22,333449.92,16-Apr-2026,5,IN0020190461
SGBAPR28I,GB,15200,15349.99,15116,15227.66,15298,15151.3,46,701650.99,16-Apr-2026,29,IN0020200062
SGBMAY28,GB,15100,15173,15100,15160.18,15158,15046.23,56,847778.04,16-Apr-2026,14,IN0020200088
SGBJUL28IV,GB,15100,15150,15015.11,15105.62,15111,15014.06,99,1493247.00,16-Apr-2026,24,IN0020200146
SGBFEB28IX,GB,15000.01,15080,15000,15080,15080,14986,33,495795.05,16-Apr-2026,12,IN0020190545
SGBAUG28V,GB,15000,15125,15000,15115.62,15120,15014.16,1123,16937350.90,16-Apr-2026,210,IN0020200161
SGBSEP28VI,GB,15027.01,15100,15000,15083.67,15090,15026.8,424,6393890.93,16-Apr-2026,81,IN0020200195
SGBOC28VII,GB,15224,15299.89,15099.99,15192.81,15137.15,15020.85,37,559867.78,16-Apr-2026,13,IN0020200203
SGBMAR28X,GB,15200,15200,15100,15100,15100,14967.4,42,634774.70,16-Apr-2026,6,IN0020190552
SGBJUL29IV,GB,15026.05,15265,15026.05,15147.77,15156,14994.55,39,590400.83,16-Apr-2026,18,IN0020210111
SGBJAN29IX,GB,15100,15150,15050,15130.14,15140,15031,146,2205392.85,16-Apr-2026,40,IN0020200377
SGBAUG29V,GB,15041.01,15250,15040,15202.19,15085,15040,101,1533794.71,16-Apr-2026,34,IN0020210129
SGBD29VIII,GB,15100,15265,15061,15211.66,15265,15053.9,144,2185144.72,16-Apr-2026,43,IN0020210228
SGBJAN29X,GB,15026.5,15118.5,15026.5,15084.3,15117,14970.07,329,4958406.48,16-Apr-2026,43,IN0020200385
SGBFEB29XI,GB,15017,15200,15017,15104.88,15200,15152.78,50,756261.43,16-Apr-2026,26,IN0020200393
SGBMR29XII,GB,15100,15150,15060,15117.62,15145,15020.67,211,3187903.98,16-Apr-2026,48,IN0020200427
SGBJUN30,GB,15075,15400,15075,15201.95,15250,15060.19,157,2383723.64,16-Apr-2026,66,IN0020220045
SGBAUG30,GB,15250,15299.99,15131,15210.98,15280,15106.6,185,2814208.62,16-Apr-2026,83,IN0020220078
SGBDE30III,GB,15339.99,15339.99,15201.18,15299.92,15314.99,15080.59,52,793553.31,16-Apr-2026,23,IN0020220110
SGBJAN30IX,GB,15198.87,15600,15015,15195.22,15201,15198.87,152,2308730.75,16-Apr-2026,48,IN0020210236
SGBMAR30X,GB,15290,15330,15115.01,15295,15295,15100.73,68,1038470.89,16-Apr-2026,25,IN0020210319
SGBJUN31I,GB,14897.35,15478.87,14897.35,15414.21,15420,15279.34,412,6334426.88,16-Apr-2026,110,IN0020230069
SGBSEP31II,GB,15242.66,15480,15215.02,15424.73,15405,15242.66,2038,31273463.66,16-Apr-2026,286,IN0020230093
SGBDE31III,GB,15399.9,15600,15316.2,15580,15600,15399.9,1517,23559722.89,16-Apr-2026,337,IN0020230168
SGBMAR31IV,GB,15318.86,15443.99,15280,15401.05,15400,15242.65,309,4747870.58,16-Apr-2026,62,IN0020220169
SGBFEB32IV,GB,16010,16239.97,16010,16108.13,16110,16009.18,909,14655603.30,16-Apr-2026,212,IN0020230184
20MICRONS,EQ,170.01,184.95,168.1,181.89,181,168.64,862011,154861599.07,16-Apr-2026,11259,INE144J01027
21STCENMGM,EQ,31.78,31.78,31.78,31.78,31.78,31.16,1675,53231.50,16-Apr-2026,16,INE253B01015
360ONE,EQ,1071,1085,1056.9,1076.45,1080,1056,796315,850920129.45,16-Apr-2026,27113,INE466L01038
GOLD360,EQ,151.8,151.8,148.05,148.2,148.3,148.1,15278,2269334.35,16-Apr-2026,278,INF579M01BB5
SILVER360,EQ,243.12,246.44,243.11,244.45,244.72,240.69,51901,12736032.36,16-Apr-2026,938,INF579M01BC3
3IINFOLTD,EQ,17,17.49,16.95,17.33,17.3,16.9,847964,14644463.08,16-Apr-2026,1726,INE748C01038
3MINDIA,EQ,31900,31900,31050,31265,31370,31440,2982,93757465.00,16-Apr-2026,1782,INE470A01017
3PLAND,EQ,36.29,36.5,35.3,35.99,35.95,36.29,5469,197574.77,16-Apr-2026,143,INE105C01023
5PAISA,EQ,314.6,324.9,309,317.3,317,314.57,55439,17424004.61,16-Apr-2026,1831,INE618L01018
63MOONS,EQ,636.05,665.45,625,649.9,649.8,615.15,502048,325097075.60,16-Apr-2026,20266,INE111B01023
764NABAR31,N2,1090.95,1093,1090.95,1092.5,1092.5,1090.92,217,236777.95,16-Apr-2026,9,INE261F07032
764HUDCO31,N8,1100,1100,1100,1100,1100,1091.01,1,1100.00,16-Apr-2026,1,INE031A07AO5
769HUDCO31,N9,1116,1116,1105,1113.1,1113,1116,772,858429.10,16-Apr-2026,19,INE031A07AT4
812REC27,NI,1099.7,1099.7,1085.6,1085.6,1085.6,1085,37,40674.80,16-Apr-2026,2,INE020B07GH7
82HUDCO27,N2,1030,1030,1026.1,1030,1030,1030,1199,1233800.80,16-Apr-2026,7,INE031A07840
830PFCL27,N5,1062,1062,1062,1062,1062,1061,10,10620.00,16-Apr-2026,1,INE134E07208
872MMFSL26,N1,1007,1019,1001,1001,1001,1011.9,399,401679.00,16-Apr-2026,10,INE774D08LU6
875NHAI29,N6,1100,1110.5,1100,1104.5,1104.5,1108.98,1184,1307355.55,16-Apr-2026,18,INE906B07DF8
876HUDCO28,ND,1117,1128,1116.99,1125.8,1128,1117.62,450,504409.10,16-Apr-2026,8,INE031A07949
891IIFCL34,N4,1254.94,1254.99,1249,1252.69,1254.99,1254.94,249,311604.95,16-Apr-2026,10,INE787H07370
891NTPC33,N6,1250,1253.05,1250,1251,1251,1235.01,220,275221.50,16-Apr-2026,8,INE733E07JJ9
892NHPC33,N6,1215,1234.99,1215,1234.99,1234.99,1220,700,853749.50,16-Apr-2026,6,INE848E07567
892PFCL33,N8,1248.4,1253.05,1248.2,1250.81,1250.75,1245.97,1047,1309093.50,16-Apr-2026,15,INE134E07463
9MMFSML,N2,1073.96,1074.89,1066,1074.5,1074.5,1073.98,925,993684.54,16-Apr-2026,18,INE774D08MA6
901HUDCO34,NE,1251.3,1258,1246,1249.99,1250,1251.01,1229,1534905.33,16-Apr-2026,23,INE031A07AB2
ABCOTS,EQ,411.6,423.4,402.45,412.75,406.45,405.5,58696,24217963.60,16-Apr-2026,1372,INE08PH01015
ABINFRA,EQ,16.41,17,16.26,16.84,16.92,16.33,814534,13671564.05,16-Apr-2026,630,INE00YB01025
AGUL,SM,65.35,65.35,65.35,65.35,65.35,68.75,2000,130700.00,16-Apr-2026,1,INE0O6N01012
A2ZINFRA,BE,17.6,17.6,17,17.16,17.2,17.22,103546,1782860.23,16-Apr-2026,165,INE619I01012
AAATECH,EQ,99.98,101.5,98.5,99.53,99.99,99.09,24439,2440709.25,16-Apr-2026,318,INE0D0U01013
AADHARHFC,EQ,486.6,496,478.9,491.6,493,480.65,379546,185648336.10,16-Apr-2026,16883,INE883F01010
AAKAAR,ST,61.15,61.15,61.1,61.1,61.1,61,3200,195600.00,16-Apr-2026,2,INE1GYP01013
AAKASH,BE,8.35,8.35,8.2,8.23,8.25,8.22,107483,886176.61,16-Apr-2026,352,INE087Z01024
AARADHYA,SM,89,91.95,89,91.95,91.95,88.1,9600,868140.00,16-Apr-2026,8,INE124401014
AAREYDRUGS,EQ,75.02,78.77,73.49,77.96,76.11,75.02,243212,18718721.97,16-Apr-2026,1579,INE198H01019
AARNAV,EQ,24,24.95,23.35,24.76,24.79,24.4,39684,969134.20,16-Apr-2026,313,INE750R01016
AARON,EQ,142,143,139.5,142.21,142,140.23,11117,1569320.54,16-Apr-2026,243,INE721Z01010
AARTECH,EQ,53.89,55.99,51.85,53.09,52.25,52.72,505438,27130620.35,16-Apr-2026,3511,INE01C001026
AARTIDRUGS,EQ,367.7,374,363.3,368.4,372,365.3,151850,55905453.65,16-Apr-2026,4335,INE767A01016
AARTIIND,EQ,437,441.1,429.05,437.9,438.4,431.7,893351,388918555.70,16-Apr-2026,30508,INE769A01020
AARTIPHARM,EQ,708,710.9,694,700,697,702.65,96467,67658634.20,16-Apr-2026,10541,INE0LRU01027
AARTISURF,EQ,412.6,416,402,406.95,404,407.8,7249,2969611.35,16-Apr-2026,543,INE09EO01013
AARVI,EQ,129.2,129.99,126.75,128.16,128,127.32,8470,1087155.94,16-Apr-2026,583,INE754X01016
AATMAJ,SM,21.6,21.6,20.6,20.6,20.6,20.7,4000,84400.00,16-Apr-2026,2,INE0OB201016
AAVAS,EQ,1313.4,1320.5,1287,1308.3,1311,1293,167972,219957897.50,16-Apr-2026,12864,INE216P01012
AFSL,EQ,209,211.33,202,204.19,204,208.57,25478,5237269.48,16-Apr-2026,635,INE00ZE01026
ABB,EQ,6873.5,6907,6732.5,6883.5,6880,6873,548523,3748666010.50,16-Apr-2026,38647,INE117A01022
ABBOTINDIA,EQ,26100,26150,25750,25860,25875,25975,6973,180706165.00,16-Apr-2026,3793,INE358A01014
