SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,15020.01,15275,15020.01,15131.45,15125,14850,98,1485211.57,03-Sep-2026,31,IN0020200104
SGBN28VIII,GB,15295,15295,15101,15176,15152,14866.96,46,697336.17,03-Sep-2026,14,IN0020200286
SGBMAY29I,GB,15000,15289.99,15000,15136.47,15132.01,14860.91,559,8490597.04,03-Sep-2026,108,IN0020210053
SGBJUN29II,GB,15035.01,15200,15035.01,15135,15135,14868.88,55,833818.43,03-Sep-2026,24,IN0020210061
SGBJU29III,GB,15012.01,15175.1,15012.01,15120,15120,14862.97,68,1029618.17,03-Sep-2026,20,IN0020210087
SGBSEP29VI,GB,15150,15649,15150,15352.09,15390,14891.34,117,1796599.04,03-Sep-2026,41,IN0020210145
SGBNV29VII,GB,15000,15248.11,15000,15158,15150,14885.57,191,2899078.20,03-Sep-2026,38,IN0020210178
SGBNOV26,GB,15075.25,15150,15075.25,15150,15150,15151,11,166103.52,03-Sep-2026,4,IN0020180314
SGBDEC26,GB,15150,15150,15150,15150,15150,15550,1,15150.00,03-Sep-2026,1,IN0020180389
SGBJUL27,GB,15149.99,15149.99,15149.99,15149.99,15149.99,15024.99,6,90899.94,03-Sep-2026,4,IN0020190081
SGBAUG27,GB,15100,15239.98,15051.01,15105.26,15089.22,14959.21,34,513410.82,03-Sep-2026,23,IN0020190107
SGBSEP27,GB,15105,15299.99,15105,15251,15251,14915.02,96,1465910.46,03-Sep-2026,5,IN0020190115
SGBOCT27VI,GB,15150,15150,15150,15150,15150,14770,10,151500.00,03-Sep-2026,3,IN0020190388
SGBDC27VII,GB,15014.55,15200,15014.55,15150,15150,15090,12,181880.56,03-Sep-2026,10,IN0020190461
SGBAPR28I,GB,15100,15270,15100,15180.84,15170,14890.48,145,2201251.53,03-Sep-2026,32,IN0020200062
SGBMAY28,GB,15249,15249,15115.01,15123.33,15130,14861.71,52,787259.85,03-Sep-2026,6,IN0020200088
