SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,14396,14396,14060,14150,14150,14040.47,401,5670643.46,29-Jun-2026,75,IN0020200104
SGBN28VIII,GB,14343.1,14343.1,14100,14140.27,14135,14061.85,127,1796042.55,29-Jun-2026,32,IN0020200286
SGBMAY29I,GB,14327.7,14384,14101,14154.76,14150,14046.76,380,5378136.79,29-Jun-2026,118,IN0020210053
SGBJUN29II,GB,14473,14473,14122.01,14142.2,14150.01,14071.25,107,1512702.38,29-Jun-2026,39,IN0020210061
SGBJU29III,GB,14060.01,14289,14059.86,14255.05,14250,14059.86,160,2272667.71,29-Jun-2026,46,IN0020210087
SGBSEP29VI,GB,14075.01,14399,14072.29,14158.26,14170,14072.29,158,2239574.87,29-Jun-2026,59,IN0020210145
SGBNV29VII,GB,14149,14210,14105.01,14154.99,14127.01,14094.16,241,3412598.69,29-Jun-2026,93,IN0020210178
SGBOCT26,GB,14360,14360,14025.01,14126.21,14120.01,14360,88,1247782.27,29-Jun-2026,21,IN0020180249
SGBNOV26,GB,14357.14,14360,14357.14,14357.14,14357.14,14357.14,11,157931.40,29-Jun-2026,3,IN0020180314
SGBDEC26,GB,14030,14030,14030,14030,14030,14013.09,1,14030.00,29-Jun-2026,1,IN0020180389
SGBJUN27,GB,13651.92,14115.01,13651.92,14103.33,14100,14001.97,101,1419773.87,29-Jun-2026,27,IN0020190073
SGBJUL27,GB,14195,14195,14195,14195,14195,14502,37,525215.00,29-Jun-2026,1,IN0020190081
SGBAUG27,GB,14160,14200,14100,14196.2,14200,14059.99,393,5575986.28,29-Jun-2026,33,IN0020190107
SGBSEP27,GB,14249,14249,14100,14199.99,14199.99,14349,12,169448.99,29-Jun-2026,7,IN0020190115
SGBOCT27,GB,14150,14150,14083.01,14149.9,14149.9,14053.84,6,84765.82,29-Jun-2026,3,IN0020190370
SGBFEB27,GB,14095.01,14175,14095.01,14175,14175,14047.75,38,538415.02,29-Jun-2026,4,IN0020180561
SGBOCT27VI,GB,14020.01,14149,14020.01,14149,14149,14380,2,28169.01,29-Jun-2026,2,IN0020190388
SGBDC27VII,GB,14100,14150,14050,14149,14149,14013.45,10,141146.00,29-Jun-2026,6,IN0020190461
SGBAPR28I,GB,14065.01,14199.99,14065.01,14162.77,14150,14061.78,244,3455827.93,29-Jun-2026,69,IN0020200062
SGBMAY28,GB,14060.11,14179,14060.11,14164.99,14165,14009.44,90,1271375.79,29-Jun-2026,26,IN0020200088
SGBJUL28IV,GB,14056.56,14200,14056.56,14165.7,14160,14042.26,616,8730607.91,29-Jun-2026,56,IN0020200146
SGBFEB28IX,GB,14100,14200,14100,14200,14200,14085.77,25,354000.00,29-Jun-2026,3,IN0020190545
SGBAUG28V,GB,14101,14324,14101,14163.48,14162,14049.92,1523,21599899.65,29-Jun-2026,198,IN0020200161
SGBSEP28VI,GB,14148,14200,14106.01,14153.07,14150,14074.46,112,1584743.80,29-Jun-2026,34,IN0020200195
SGBOC28VII,GB,14051.01,14499,14000,14128.83,14122,14050,389,5492155.36,29-Jun-2026,39,IN0020200203
SGBJ28VIII,GB,14150,14176,14150,14150.01,14150.01,14398.99,43,608476.37,29-Jun-2026,6,IN0020190537
SGBMAR28X,GB,14200,14200,14200,14200,14200,14067.36,19,269800.00,29-Jun-2026,2,IN0020190552
SGBJUL29IV,GB,14136.01,14278.8,14136.01,14176.29,14176.29,14133.84,197,2794182.05,29-Jun-2026,45,IN0020210111
SGBJAN29IX,GB,14293,14293,14155,14174.01,14174.01,14070,245,3473612.18,29-Jun-2026,34,IN0020200377
SGBAUG29V,GB,14155.01,14300.01,14052,14262.6,14268,14154.04,142,2021493.98,29-Jun-2026,47,IN0020210129
SGBD29VIII,GB,14105.01,14390,14085,14188.79,14160,14099.7,233,3306431.83,29-Jun-2026,82,IN0020210228
SGBJAN29X,GB,14075.01,14599,14069.52,14168,14157.01,14069.52,120,1699215.11,29-Jun-2026,42,IN0020200385
SGBFEB29XI,GB,14146.5,14210,14140,14150.5,14140,14071,151,2140298.49,29-Jun-2026,15,IN0020200393
SGBMR29XII,GB,14060.01,14200,14057.04,14188.41,14160,14058.04,271,3840863.34,29-Jun-2026,46,IN0020200427
SGBJUN30,GB,14251,14600.01,14251,14504.63,14450,14307.83,180,2594676.22,29-Jun-2026,66,IN0020220045
SGBAUG30,GB,14420,14643.96,14408.43,14415,14415,14408.43,114,1649938.77,29-Jun-2026,37,IN0020220078
SGBDE30III,GB,14345.39,14499.99,14306,14400.43,14439.99,14345.39,327,4696128.58,29-Jun-2026,102,IN0020220110
SGBJAN30IX,GB,14225.59,14372.51,14225.59,14316.29,14369.99,14225.59,99,1415466.62,29-Jun-2026,35,IN0020210236
SGBMAR30X,GB,14400,14400,14175.9,14225.69,14200,14242.14,137,1953761.48,29-Jun-2026,51,IN0020210319
