SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,15000,15000,14880.01,14911.59,14900.02,15000,172,2565993.08,24-Apr-2026,30,IN0020200104
SGBN28VIII,GB,14951,15174,14901,14953,14950,15033.4,368,5511448.39,24-Apr-2026,46,IN0020200286
SGBMAY29I,GB,14950,15074.98,14913.13,14972.92,14931,15043.08,648,9696384.72,24-Apr-2026,133,IN0020210053
SGBJUN29II,GB,14901,14990,14901,14979.99,14979.99,15037.32,340,5084261.46,24-Apr-2026,32,IN0020210061
SGBJU29III,GB,15005,15005,14901,14966.92,14930,15005,75,1122122.50,24-Apr-2026,31,IN0020210087
SGBSEP29VI,GB,15025.5,15067.99,14920,14984.53,15000,15025.5,200,2995666.34,24-Apr-2026,69,IN0020210145
SGBNV29VII,GB,14980,15050,14980,15009.99,15010,15045.43,151,2266179.08,24-Apr-2026,35,IN0020210178
SGBMAY26,GB,15069,15069,14899.99,15020,15020,15041,145,2167939.00,24-Apr-2026,28,IN0020180033
SGBOCT26,GB,15050,15050.98,14827,14900,14900,15050,45,672092.75,24-Apr-2026,14,IN0020180249
SGBNOV26,GB,15140,15140,15140,15140,15140,15150,1,15140.00,24-Apr-2026,1,IN0020180314
SGBDEC26,GB,14950,14950,14950,14950,14950,14909.42,1,14950.00,24-Apr-2026,1,IN0020180389
SGBJUN27,GB,14760,15040,14760,14999,14999,14951,55,818206.74,24-Apr-2026,10,IN0020190073
SGBJUL27,GB,14900,14900,14900,14900,14900,15000,1,14900.00,24-Apr-2026,1,IN0020190081
SGBAUG27,GB,14950,14974.5,14811.9,14928.87,14911.18,14945.03,94,1400216.47,24-Apr-2026,38,IN0020190107
SGBSEP27,GB,14802.18,14949.99,14802.18,14949.9,14949.9,15000,12,179251.98,24-Apr-2026,3,IN0020190115
SGBJAN27,GB,14806,14940,14800,14913.07,14865.3,14970,83,1231753.77,24-Apr-2026,16,IN0020180462
SGBOCT27,GB,14975,14975,14800.01,14919,14919,15000,8,119032.03,24-Apr-2026,5,IN0020190370
SGBFEB27,GB,15000,15000,15000,15000,15000,15000,1,15000.00,24-Apr-2026,1,IN0020180561
SGBOCT27VI,GB,14801.01,14925,14801.01,14894,14894,15150,15,222796.07,24-Apr-2026,8,IN0020190388
SGBDC27VII,GB,14904,14950,14851.01,14950,14950,14925,14,209154.01,24-Apr-2026,5,IN0020190461
SGBAPR28I,GB,15007.5,15020,14950,14950,14950,15020.88,102,1527423.51,24-Apr-2026,26,IN0020200062
SGBMAY28,GB,15050,15050,14926.01,14976.32,14950,15050,171,2561728.48,24-Apr-2026,23,IN0020200088
SGBJUL28IV,GB,14850.01,15000,14850.01,14921.5,14920,14959.21,147,2193380.24,24-Apr-2026,43,IN0020200146
SGBFEB28IX,GB,14905.18,14950,14905.18,14930.71,14910,14950.03,14,208940.90,24-Apr-2026,6,IN0020190545
SGBAUG28V,GB,15265.54,15265.54,14815.01,14925.26,14907.01,14966.22,665,9939311.21,24-Apr-2026,135,IN0020200161
SGBSEP28VI,GB,14901,15043,14900,14940,14930,14993.02,107,1598154.49,24-Apr-2026,28,IN0020200195
SGBOC28VII,GB,14900,14948,14860,14911.78,14900,15000,218,3245225.32,24-Apr-2026,40,IN0020200203
SGBJ28VIII,GB,14849,14939,14802,14901.25,14901.25,14999.37,90,1335118.57,24-Apr-2026,17,IN0020190537
SGBMAR28X,GB,15094.32,15094.32,14801,14905,14905,15149.89,63,933841.93,24-Apr-2026,17,IN0020190552
SGBJUL29IV,GB,14936,14970,14901,14959.95,14950,15011.05,34,508076.00,24-Apr-2026,17,IN0020210111
SGBJAN29IX,GB,14964.79,14969.5,14900,14931.33,14926.6,15011.05,91,1358151.73,24-Apr-2026,27,IN0020200377
