SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,15100,15100,14900,14930,14930,15007.61,378,5659867.38,17-Sep-2026,38,IN0020200104
SGBN28VIII,GB,14930,14995,14925,14980,14980,15016.76,152,2274745.06,17-Sep-2026,12,IN0020200286
SGBMAY29I,GB,14903,15000.01,14903,14967.66,14945,15003.5,494,7389250.93,17-Sep-2026,71,IN0020210053
SGBJUN29II,GB,14906,14995,14902,14991,14991,14998,263,3928337.66,17-Sep-2026,38,IN0020210061
SGBJU29III,GB,14901.8,14955,14901.8,14955,14955,14995,199,2971551.23,17-Sep-2026,29,IN0020210087
SGBSEP29VI,GB,14945,15200,14915,15142.77,14920,14964.33,206,3083760.66,17-Sep-2026,84,IN0020210145
SGBNV29VII,GB,15005,15049.99,14981.01,15000,15000,15055,131,1968636.26,17-Sep-2026,13,IN0020210178
SGBJUN27,GB,14850,14989.99,14804,14924,14924,15000,37,551628.70,17-Sep-2026,12,IN0020190073
SGBAUG27,GB,14940,14961,14940,14961,14961,14950,30,448358.00,17-Sep-2026,10,IN0020190107
SGBSEP27,GB,14999.99,14999.99,14821,14949.9,14949.9,14980,64,954417.80,17-Sep-2026,10,IN0020190115
SGBJAN27,GB,14826.5,14961,14826.5,14900.21,14900.21,14901,6,89567.71,17-Sep-2026,6,IN0020180462
SGBOCT27,GB,15000,15000,15000,15000,15000,15100,9,135000.00,17-Sep-2026,1,IN0020190370
SGBOCT27VI,GB,15100,15100,15050,15050,15050,15100,7,105650.00,17-Sep-2026,3,IN0020190388
SGBAPR28I,GB,15000,15075,14953,15048.98,15075,15091.66,163,2451009.73,17-Sep-2026,46,IN0020200062
SGBMAY28,GB,15000,15000,14950.01,14990.4,14990.4,14998.57,7,104934.40,17-Sep-2026,5,IN0020200088
SGBJUL28IV,GB,14947.7,14999.99,14900,14914.46,14949,14964.73,51,760692.71,17-Sep-2026,22,IN0020200146
SGBFEB28IX,GB,14860,14999.99,14860,14999.99,14999.99,15149.99,3,44859.98,17-Sep-2026,2,IN0020190545
SGBAUG28V,GB,14970,14970,14905,14941.61,14950,14964.31,511,7626263.50,17-Sep-2026,129,IN0020200161
SGBSEP28VI,GB,14946.99,14950,14875,14940.84,14940,14959.67,139,2075300.78,17-Sep-2026,28,IN0020200195
SGBOC28VII,GB,15145,15145,15002.1,15090.19,15100,15149.22,193,2912217.05,17-Sep-2026,12,IN0020200203
SGBMAR28X,GB,14716,16000,14716,16000,16000,15000,42,637201.72,17-Sep-2026,11,IN0020190552
SGBJUL29IV,GB,14992,15500,14900,15204.64,15400,14990,421,6314655.02,17-Sep-2026,76,IN0020210111
SGBJAN29IX,GB,14969.99,14990,14915.5,14946,14927,14970,155,2317541.59,17-Sep-2026,24,IN0020200377
SGBAUG29V,GB,14805,15089.99,14805,14959.85,14985,14994.72,178,2661364.19,17-Sep-2026,61,IN0020210129
SGBD29VIII,GB,14975,15049.99,14901,14989.61,15049,14994.33,187,2797979.56,17-Sep-2026,68,IN0020210228
SGBJAN29X,GB,14858,14950,14857,14926.5,14926.5,14970.01,78,1162270.25,17-Sep-2026,20,IN0020200385
SGBFEB29XI,GB,14845.5,14988,14845,14905.5,14905.5,14979.5,48,716939.43,17-Sep-2026,16,IN0020200393
SGBMR29XII,GB,14975,14984,14931.1,14965,14965,14981.1,46,688502.60,17-Sep-2026,20,IN0020200427
SGBJUN30,GB,15200,15200,15000,15118.33,15105,15100,117,1767953.70,17-Sep-2026,27,IN0020220045
SGBAUG30,GB,14969.7,15144.99,14969.7,15098.53,15029,14981.36,97,1458131.08,17-Sep-2026,26,IN0020220078
SGBDE30III,GB,15089.7,15149.99,15060,15130.08,15130,15100.33,231,3488111.93,17-Sep-2026,65,IN0020220110
