SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,15492.15,15492.15,15350,15440.52,15450,15570,256,3951588.53,01-Jun-2026,52,IN0020200104
SGBN28VIII,GB,15689.13,15689.13,15272,15322.14,15305,15381.5,104,1593912.52,01-Jun-2026,32,IN0020200286
SGBMAY29I,GB,15391,15392.95,14999.99,15325.92,15318.02,15397.24,2136,32716488.66,01-Jun-2026,284,IN0020210053
SGBJUN29II,GB,15350,15379,15305,15325.34,15325.5,15428,168,2574888.99,01-Jun-2026,31,IN0020210061
SGBJU29III,GB,15333.9,15384,15301,15332.2,15384,15454,277,4244909.74,01-Jun-2026,61,IN0020210087
SGBSEP29VI,GB,15322,15374,15305,15344.66,15330,15444.33,159,2436233.94,01-Jun-2026,50,IN0020210145
SGBNV29VII,GB,15697,15697,15316,15318.25,15317,15397.07,78,1195756.43,01-Jun-2026,33,IN0020210178
SGBOCT26,GB,15470,15470,15470,15470,15470,15475,1,15470.00,01-Jun-2026,1,IN0020180249
SGBDEC26,GB,15509,15509,15451,15451,15451,15539,2,30960.00,01-Jun-2026,2,IN0020180389
SGBJUL27,GB,15303,15303,15303,15303,15303,15620,10,153030.00,01-Jun-2026,1,IN0020190081
SGBAUG27,GB,15302.5,15349.99,15302.01,15324.24,15309.06,15371,135,2068461.06,01-Jun-2026,27,IN0020190107
SGBSEP27,GB,15375.67,15375.67,15301.01,15345,15345,15420,38,583657.02,01-Jun-2026,8,IN0020190115
SGBFEB27,GB,15329,15335,15329,15335,15335,15387.52,23,352605.00,01-Jun-2026,3,IN0020180561
SGBOCT27VI,GB,15250,15350,15250,15343.88,15350,15449,197,3011023.67,01-Jun-2026,32,IN0020190388
SGBDC27VII,GB,15300,15331.99,15300,15325.06,15325,15510,71,1087002.96,01-Jun-2026,11,IN0020190461
SGBAPR28I,GB,15499,15499,15311,15313.14,15311,15400,168,2577138.64,01-Jun-2026,44,IN0020200062
SGBMAY28,GB,15396.34,15396.34,15280.01,15339.99,15340,15396.34,467,7161069.75,01-Jun-2026,40,IN0020200088
SGBJUL28IV,GB,15480,15480,15300,15381.86,15388,15428.17,374,5745298.20,01-Jun-2026,53,IN0020200146
SGBFEB28IX,GB,15251,15400,15251,15315,15315,15650,15,229787.00,01-Jun-2026,6,IN0020190545
SGBAUG28V,GB,15416.55,15416.55,15300,15339.08,15340,15414.55,700,10733754.75,01-Jun-2026,108,IN0020200161
SGBSEP28VI,GB,15312,15390,15310,15345.25,15361,15400.15,267,4093485.78,01-Jun-2026,44,IN0020200195
SGBOC28VII,GB,15251,15345,15251,15344.8,15345,15400,197,3021722.23,01-Jun-2026,30,IN0020200203
SGBJ28VIII,GB,15300,15394,15300,15306.71,15394,15580,14,214294.00,01-Jun-2026,2,IN0020190537
SGBMAR28X,GB,15352,15352,15275,15310.91,15318.04,15375.07,121,1852601.51,01-Jun-2026,12,IN0020190552
SGBJUL29IV,GB,15425,15425,15321,15342.07,15342.1,15414.85,329,5047485.94,01-Jun-2026,40,IN0020210111
SGBJAN29IX,GB,15460,15460,15351,15370.79,15366,15459.38,231,3552391.50,01-Jun-2026,32,IN0020200377
SGBAUG29V,GB,15486,15486,15331,15340.74,15339,15583.56,323,4963558.72,01-Jun-2026,70,IN0020210129
SGBD29VIII,GB,15459,15475,15325,15361.03,15360,15501.41,634,9752560.31,01-Jun-2026,48,IN0020210228
SGBJAN29X,GB,15698,15698,15359,15374.02,15377.5,15431.31,41,630640.80,01-Jun-2026,17,IN0020200385
SGBFEB29XI,GB,15400,15400,15310,15379,15379,15418.87,51,782192.80,01-Jun-2026,14,IN0020200393
SGBMR29XII,GB,15405.96,15405.96,15310.03,15325,15325,15405.96,91,1395919.96,01-Jun-2026,35,IN0020200427
SGBJUN30,GB,15602.2,15716.97,15424.92,15449.64,15424.92,15740.15,163,2535934.36,01-Jun-2026,51,IN0020220045
SGBAUG30,GB,15576.99,15577.31,15333,15418.89,15409,15577.31,179,2771326.46,01-Jun-2026,66,IN0020220078
SGBDE30III,GB,15505.55,15505.55,15336,15400.49,15414.92,15600.97,287,4431387.96,01-Jun-2026,110,IN0020220110
