SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,15119.43,15189,15020,15066.66,15065,15120.03,50,752186.85,11-May-2026,20,IN0020200104
SGBN28VIII,GB,15101.2,15135,15025,15035.71,15025,15190,257,3876144.40,11-May-2026,83,IN0020200286
SGBMAY29I,GB,15120,15120,15036.8,15082.85,15070,15186.2,384,5788585.37,11-May-2026,80,IN0020210053
SGBJUN29II,GB,15163.05,15498,15012,15066.45,15066.45,15163.05,291,4386468.30,11-May-2026,54,IN0020210061
SGBJU29III,GB,15051,15140,15051,15070,15070,15170,155,2338194.20,11-May-2026,54,IN0020210087
SGBSEP29VI,GB,15201.2,15201.2,15025,15087.87,15080,15276.36,705,10651538.28,11-May-2026,132,IN0020210145
SGBNV29VII,GB,15050,15179.99,15032.01,15100.16,15100,15194,340,5123333.09,11-May-2026,64,IN0020210178
SGBOCT26,GB,15050,15050,15050,15050,15050,15110,15,225750.00,11-May-2026,8,IN0020180249
SGBNOV26,GB,15000,15000,15000,15000,15000,15069.12,1,15000.00,11-May-2026,1,IN0020180314
SGBDEC26,GB,15198.9,15198.9,15198.9,15198.9,15198.9,15270,10,151989.00,11-May-2026,1,IN0020180389
SGBJUN27,GB,15002,15002,15002,15002,15002,15106,4,60008.00,11-May-2026,1,IN0020190073
SGBJUL27,GB,15066.03,15134.9,15000,15000,15000,15066.03,12,180806.56,11-May-2026,4,IN0020190081
SGBAUG27,GB,15145.3,15145.3,15000,15000.25,15000,15100,91,1367620.75,11-May-2026,27,IN0020190107
SGBOCT27,GB,15070,15299.99,14701,14758.62,14701,15100,47,696999.19,11-May-2026,9,IN0020190370
SGBDC27VII,GB,15099,15099,15001,15005,15005,15120,17,255861.99,11-May-2026,7,IN0020190461
SGBAPR28I,GB,15124.12,15124.12,14980,15010.02,14980,15124.12,528,7936397.91,11-May-2026,105,IN0020200062
SGBMAY28,GB,15170.05,15170.05,15020,15041.57,15043,15170.05,226,3400973.96,11-May-2026,36,IN0020200088
SGBJUL28IV,GB,15050.67,15120,14980,15001.1,14980,15126.3,364,5464226.59,11-May-2026,55,IN0020200146
SGBFEB28IX,GB,15099.99,15100,14994,15000.11,15000.11,15101.16,54,814343.02,11-May-2026,20,IN0020190545
SGBAUG28V,GB,15149,15149,15000,15015.46,15000,15149.81,1871,28126136.60,11-May-2026,199,IN0020200161
SGBSEP28VI,GB,14999,15110,14999,15019.33,15000,15113.2,177,2661678.53,11-May-2026,51,IN0020200195
SGBOC28VII,GB,15100,15200,15000.01,15050,15050,15115.16,257,3879263.78,11-May-2026,44,IN0020200203
SGBMAR28X,GB,15081,15094.99,14955,14960.3,14960.3,15080.05,48,721020.34,11-May-2026,12,IN0020190552
SGBJUL29IV,GB,15015.02,15099,15015.02,15070,15070,15171,295,4442097.94,11-May-2026,35,IN0020210111
SGBJAN29IX,GB,15110,15110,15002.15,15010.11,15002.15,15145,112,1684320.88,11-May-2026,37,IN0020200377
SGBAUG29V,GB,15173.42,15399,15012,15120.99,15110,15170.02,228,3450362.74,11-May-2026,57,IN0020210129
SGBD29VIII,GB,15021.01,15198,14979.73,15109.17,15080,15247,540,8134834.79,11-May-2026,140,IN0020210228
SGBJAN29X,GB,15026.3,15080,15011,15017,15011,15158.4,157,2364412.00,11-May-2026,18,IN0020200385
SGBFEB29XI,GB,15100,15100,15010.01,15025.04,15020,15177.94,207,3116418.63,11-May-2026,33,IN0020200393
SGBMR29XII,GB,15050,15079.99,15005.01,15027.68,15020,15135.68,179,2690263.98,11-May-2026,66,IN0020200427
SGBJUN30,GB,15290,15376.5,15111,15261.27,15250,15295.82,289,4406430.32,11-May-2026,79,IN0020220045
SGBAUG30,GB,15156.2,15384.99,15156.2,15261.54,15270,15256.07,268,4079180.51,11-May-2026,88,IN0020220078
