SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,15606.55,15900,15606.55,15808.71,15820,15802.04,226,3573295.46,06-Mar-2026,45,IN0020200104
SGBN28VIII,GB,15875.77,15875.77,15701,15811.35,15823,15876.77,104,1644504.17,06-Mar-2026,32,IN0020200286
SGBMAY29I,GB,15888,15888,15712,15793.79,15785,15818.43,289,4567735.43,06-Mar-2026,108,IN0020210053
SGBJUN29II,GB,15801,15867.5,15750.01,15775.25,15775.25,15812.3,259,4089941.30,06-Mar-2026,24,IN0020210061
SGBJU29III,GB,15817,15889,15800,15850,15850,15817.56,139,2204966.00,06-Mar-2026,33,IN0020210087
SGBSEP29VI,GB,15951,16049,15802,15995.7,16000,15854.44,765,12180756.87,06-Mar-2026,188,IN0020210145
SGBNV29VII,GB,15944,15999,15702.01,15991,15991,15817.92,308,4907562.24,06-Mar-2026,49,IN0020210178
SGBMAY26,GB,15949.6,15949.6,15700,15700.8,15700,15870.25,19,299159.33,06-Mar-2026,5,IN0020180033
SGBOCT26,GB,15800,15877,15701.01,15756.87,15877,15819.5,14,220373.25,06-Mar-2026,8,IN0020180249
SGBNOV26,GB,15897.9,15897.9,15700,15715.82,15711,15660.7,28,441747.10,06-Mar-2026,7,IN0020180314
SGBDEC26,GB,15564.11,15564.11,15564.11,15564.11,15564.11,16799,1,15564.11,06-Mar-2026,1,IN0020180389
SGBJUL27,GB,15800,15800,15778.98,15789.99,15789.99,15807.01,83,1310849.52,06-Mar-2026,20,IN0020190081
SGBAUG27,GB,15800,15889.99,15701,15757.19,15787.98,15835.25,85,1343030.23,06-Mar-2026,29,IN0020190107
SGBJAN27,GB,15701,15799,15701,15710.33,15710,15809.07,31,487393.08,06-Mar-2026,11,IN0020180462
SGBOCT27,GB,15898.99,15899.99,15702,15752,15768,15812,66,1039114.56,06-Mar-2026,14,IN0020190370
SGBFEB27,GB,15849,15850,15849,15850,15850,15850,7,110948.00,06-Mar-2026,3,IN0020180561
SGBOCT27VI,GB,15517.01,15898.99,15517.01,15800,15800,15905.55,12,189416.00,06-Mar-2026,3,IN0020190388
SGBDC27VII,GB,15717.01,15720.11,15717.01,15719.51,15719.11,15900,9,141467.69,06-Mar-2026,6,IN0020190461
SGBAPR28I,GB,15989,15989,15756.01,15817.8,15829,15861.81,87,1380253.00,06-Mar-2026,46,IN0020200062
SGBMAY28,GB,15800.11,15850,15730,15814.97,15820,15825.11,121,1911819.84,06-Mar-2026,35,IN0020200088
SGBJUL28IV,GB,15839,15898,15625,15796.52,15800,15826.12,2336,36900343.52,06-Mar-2026,112,IN0020200146
SGBFEB28IX,GB,15844.78,15844.78,15771,15773,15784,15765.96,62,978338.34,06-Mar-2026,11,IN0020190545
SGBAUG28V,GB,15925,15925,15770.01,15799.36,15839.98,15876.27,1413,22374161.10,06-Mar-2026,230,IN0020200161
SGBSEP28VI,GB,15856.08,15856.08,15754.5,15789.06,15790,15855.08,331,5227804.42,06-Mar-2026,92,IN0020200195
SGBOC28VII,GB,15606,15848,15606,15848,15848,15811,32,506139.52,06-Mar-2026,8,IN0020200203
SGBJ28VIII,GB,15887.9,15887.9,15609.01,15849,15849,15998.99,15,235412.90,06-Mar-2026,4,IN0020190537
SGBMAR28X,GB,15754.99,15754.99,15730,15735.01,15735.01,15756.82,41,644998.00,06-Mar-2026,9,IN0020190552
SGBJUL29IV,GB,15895,15973.01,15710,15882.74,15751.2,15841.88,216,3441132.69,06-Mar-2026,54,IN0020210111
SGBJAN29IX,GB,15656,15894.99,15605.55,15805.05,15819,15808.96,364,5748813.25,06-Mar-2026,63,IN0020200377
SGBAUG29V,GB,16189,16189,15853.1,15996.26,15946,15883.92,174,2790479.10,06-Mar-2026,61,IN0020210129
SGBD29VIII,GB,15731.01,15975,15731.01,15950,15950,15878.5,24,382617.02,06-Mar-2026,12,IN0020210228
SGBJAN29X,GB,15790.9,15869.85,15790.9,15809.78,15810.59,15790.96,51,807743.37,06-Mar-2026,20,IN0020200385
SGBFEB29XI,GB,15756,15868.91,15756,15849.99,15849.99,15772.24,63,997114.67,06-Mar-2026,21,IN0020200393
SGBMR29XII,GB,15810.5,15875,15741,15765.4,15760,15810.5,404,6388502.84,06-Mar-2026,69,IN0020200427
SGBJUN30,GB,16050,16100,16000,16008.67,16000,16077.58,105,1686571.82,06-Mar-2026,31,IN0020220045
SGBAUG30,GB,15999,16050,15802,16050,16050,15958.45,187,2988993.74,06-Mar-2026,80,IN0020220078
SGBDE30III,GB,16035.93,16145,15993,16008.14,15998,16036.93,74,1188039.39,06-Mar-2026,42,IN0020220110
SGBJAN30IX,GB,15891.18,16016.44,15850,15861.03,15861.03,15891.18,122,1942766.18,06-Mar-2026,43,IN0020210236
SGBMAR30X,GB,15997.99,16000,15909,15993.49,15996.99,16002.88,109,1742861.33,06-Mar-2026,25,IN0020210319
SGBJUN31I,GB,16534.43,16534.43,16062.65,16178.35,16180,16210.23,449,7264276.12,06-Mar-2026,119,IN0020230069
SGBSEP31II,GB,16200,16288.99,16140,16175.37,16190,16200.85,699,11319401.53,06-Mar-2026,207,IN0020230093
SGBDE31III,GB,16647.7,16647.7,16201,16276.9,16279,16490.41,1279,20897107.53,06-Mar-2026,438,IN0020230168
SGBMAR31IV,GB,16149,16198,16002,16087.48,16179,16146.99,104,1673799.69,06-Mar-2026,67,IN0020220169
SGBFEB32IV,GB,16881.28,17135,16800,16881.7,16926.97,17181.28,1141,19340087.58,06-Mar-2026,326,IN0020230184
20MICRONS,EQ,166.1,169.38,166.1,166.87,166.97,167.43,33908,5672427.95,06-Mar-2026,1147,INE144J01027
21STCENMGM,EQ,34.45,34.94,33.61,33.79,34.73,34.29,8301,282135.41,06-Mar-2026,50,INE253B01015
360ONE,EQ,1074,1084.4,1061.3,1064.2,1064.8,1081,276113,295612751.60,06-Mar-2026,16415,INE466L01038
GOLD360,EQ,155.8,155.8,153.8,154.1,154.5,155.95,29436,4551604.15,06-Mar-2026,726,INF579M01BB5
SILVER360,EQ,258.49,259.97,246.01,252.98,254,255.47,81508,20908602.95,06-Mar-2026,2350,INF579M01BC3
3IINFOLTD,EQ,13.48,13.55,13.3,13.36,13.45,13.38,210187,2814586.70,06-Mar-2026,1056,INE748C01038
3MINDIA,EQ,34450,34690,34100,34320,34280,34530,2187,75137075.00,06-Mar-2026,1404,INE470A01017
3PLAND,EQ,31,31,30.8,30.99,31,31.51,2938,90943.04,06-Mar-2026,50,INE105C01023
5PAISA,EQ,305.6,307.7,300,302.65,303.7,305.9,25151,7648194.95,06-Mar-2026,1092,INE618L01018
63MOONS,EQ,585.75,593,571.1,574.3,574.8,588.65,132826,77376510.00,06-Mar-2026,3693,INE111B01023
734IRFC28,N4,1065.61,1065.61,1065.61,1065.61,1065.61,1059.8,10,10656.10,06-Mar-2026,1,INE053F07579
760PFCL35,N3,1185.99,1185.99,1185.99,1185.99,1185.99,1185.99,28,33207.72,06-Mar-2026,1,INE134E07588
764NABAR31,N2,1110,1110,1086.9,1087.63,1087.65,1159.49,3120,3397455.42,06-Mar-2026,63,INE261F07032
764HUDCO31,N8,1099.99,1099.99,1099.99,1099.99,1099.99,1093,1,1099.99,06-Mar-2026,1,INE031A07AO5
812REC27,NI,1084.9,1084.9,1084.9,1084.9,1084.9,1081.5,1,1084.90,06-Mar-2026,1,INE020B07GH7
82HUDCO27,N2,1023.5,1026,1023,1023.8,1024.5,1025,15410,15776562.72,06-Mar-2026,70,INE031A07840
830PFCL27,N5,1054.02,1055,1054.02,1055,1055,1059.99,36,37959.32,06-Mar-2026,3,INE134E07208
850NHAI29,N5,1082.25,1082.25,1082.25,1082.25,1082.25,1081,500,541125.00,06-Mar-2026,2,INE906B07DE1
872MMFSL26,N1,1004,1004,1000,1000,1000,1000.4,30,30040.00,06-Mar-2026,2,INE774D08LU6
875NHAI29,N6,1089,1089,1086.99,1087.32,1087,1088.2,1274,1385622.01,06-Mar-2026,50,INE906B07DF8
876HUDCO28,ND,1109.95,1110,1106.01,1106.01,1106.01,1106,615,682040.70,06-Mar-2026,11,INE031A07949
891IIFCL34,N4,1229.99,1229.99,1224,1224.03,1224,1229.2,153,187287.98,06-Mar-2026,4,INE787H07370
891NTPC33,N6,1234,1234,1228,1228.01,1228.01,1232.49,1139,1398706.39,06-Mar-2026,4,INE733E07JJ9
892NHPC33,N6,1298.16,1298.16,1298.15,1298.15,1298.15,1302.16,1000,1298155.00,06-Mar-2026,2,INE848E07567
892PFCL33,N8,1233,1233.8,1230,1232,1232.01,1232,2052,2525346.41,06-Mar-2026,39,INE134E07463
9MMFSML,N2,1064.98,1065,1064.98,1065,1065,1061.25,456,485638.38,06-Mar-2026,4,INE774D08MA6
901HUDCO34,NE,1239,1240,1239,1239,1239,1232.56,9,11152.00,06-Mar-2026,5,INE031A07AB2
ABCOTS,EQ,405,414,404,410.4,404,408.25,27757,11354335.25,06-Mar-2026,712,INE08PH01015
ABINFRA,EQ,17.8,18.1,17.1,17.3,17.45,17.77,322518,5686887.26,06-Mar-2026,1720,INE00YB01025
A2ZINFRA,BE,16.85,16.91,15.82,16.02,16,16.54,110487,1804192.95,06-Mar-2026,159,INE619I01012
AAATECH,EQ,93.9,93.9,90.64,92.94,91.75,91.02,18860,1738928.96,06-Mar-2026,477,INE0D0U01013
AADHARHFC,EQ,450,465.95,446.95,455.05,453.05,453.1,443973,200508048.70,06-Mar-2026,10186,INE883F01010
AAKAAR,ST,62,64,60.05,60.05,60.05,61.05,9600,600320.00,06-Mar-2026,6,INE1GYP01013
AAKASH,EQ,12.52,13.4,9.61,9.79,9.7,11.9,4725041,52066138.86,06-Mar-2026,11932,INE087Z01024
AARADHYA,SM,108,108,106,106,106,106,2400,256800.00,06-Mar-2026,2,INE124401014
AAREYDRUGS,EQ,72.41,74.59,70.02,71.65,71.65,72.74,176095,12804929.76,06-Mar-2026,1613,INE198H01019
AARNAV,EQ,25.25,26.18,24.91,25.31,25.9,25.37,12734,321556.31,06-Mar-2026,257,INE750R01016
AARON,EQ,152,155,146.55,150.68,152.69,148.13,21713,3288871.60,06-Mar-2026,523,INE721Z01010
AARTECH,EQ,41,42.5,40.4,42.03,42.48,40.56,17021,707846.35,06-Mar-2026,329,INE01C001026
AARTIDRUGS,EQ,360.8,362.7,356.1,357.1,356.5,360.8,52509,18849135.95,06-Mar-2026,2147,INE767A01016
AARTIIND,EQ,419.5,423.75,412,419.35,420,421.85,661199,275661105.30,06-Mar-2026,27042,INE769A01020
AARTIPHARM,EQ,701.75,707.9,688.5,700.15,697.6,698.85,96779,67787195.05,06-Mar-2026,15464,INE0LRU01027
AARTISURF,EQ,378,385,378,380.65,381.45,378.45,7172,2739455.20,06-Mar-2026,518,INE09EO01013
AARTISURF,P1,205.15,205.15,205.15,205.15,205.15,201.1,1,205.15,06-Mar-2026,1,INE09EO04017
AARVI,EQ,131.5,135.9,129.02,130.06,129.02,130.19,41652,5528232.43,06-Mar-2026,1123,INE754X01016
AATMAJ,SM,19.75,19.75,19.75,19.75,19.75,19.85,2000,39500.00,06-Mar-2026,1,INE0OB201016
AAVAS,EQ,1224.9,1239.8,1218,1227.9,1228.5,1224.9,435925,537257614.90,06-Mar-2026,10151,INE216P01012
ABAN,BE,22.1,22.3,22.03,22.3,22.3,21.24,98380,2187085.45,06-Mar-2026,257,INE421A01028
AFSL,EQ,201.11,204.18,201,203.23,204,201.14,19859,4001961.54,06-Mar-2026,212,INE00ZE01026
ABB,EQ,5900,6118,5869,6062,6058,5929,377080,2280534911.00,06-Mar-2026,31641,INE117A01022
ABBOTINDIA,EQ,27615,27630,27160,27325,27300,27615,6061,166053800.00,06-Mar-2026,3447,INE358A01014
78ABCL33,N1,1030,1030,1030,1030,1030,1020,100,103000.00,06-Mar-2026,1,INE860H07IP2
ABHAPOWER,SM,30,30,28.25,28.25,28.25,29.5,6400,184400.00,06-Mar-2026,4,INE0UYG01015
AILIMITED,SM,40.55,43.9,40.15,43.9,43.9,42.25,6000,247725.00,06-Mar-2026,4,INE0CAJ01017
ABMINTLLTD,BE,41.3,41.34,41.3,41.34,41.34,39.38,308,12726.52,06-Mar-2026,6,INE251C01025
ABSMARINE,SM,171,173,168,171.1,171.1,171,18500,3168800.00,06-Mar-2026,31,INE0QRV01016
ACC,EQ,1514,1535,1499,1501.2,1500,1523.6,259409,392454452.30,06-Mar-2026,16117,INE012A01025
ACCELYA,EQ,1195,1240,1186,1218.6,1215.8,1195.5,14783,17875682.40,06-Mar-2026,1360,INE793A01012
ACCENTMIC,SM,336.75,347.9,336.5,343,343,340,14500,4944975.00,06-Mar-2026,27,INE0Q5D01013
ACCPL,ST,67.45,67.45,64.4,65.7,64.4,67.45,3600,238620.00,06-Mar-2026,3,INE0T8T01010
ACCURACY,EQ,4.58,4.7,4.37,4.39,4.39,4.47,558559,2524594.99,06-Mar-2026,872,INE648Z01023
ACEINTEG,EQ,17.7,17.7,16.81,17.35,17.35,16.71,1170,20306.37,06-Mar-2026,60,INE543V01017
ACMESOLAR,EQ,230.97,235.49,227,228.4,228.1,231.23,212195,49048644.85,06-Mar-2026,8467,INE622W01025
